travelCode,User_ID,Departure,Arrival,Assigned Hotel,Stars,Check-in Date,Bedroom Type,Room Price per Night,Number of Adults,Number of Children,Number of Bedrooms,Total Cost per Night,Amenities,Days of Stay,Total Cost,Check-Out Date
14505,145,Gwalior,Kolkata,Hotel Dee Empresa,2,2022-11-17,Executive,3445.0,3,2,3,10335.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",3,31005.0,2022-11-20
14513,145,Kota,Mumbai,Hotel New Shree Niwas,1,2023-01-12,Suite,2259.0,2,0,1,2259.0,"['Wi-Fi', 'Parking']",2,4518.0,2023-01-14
14516,145,Imphal,Kota,Hotel Surya Prime,2,2023-02-02,Suite,3358.0,3,3,3,10074.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry', 'Coffee Maker']",2,20148.0,2023-02-04
14520,145,Gangtok,Srinagar,Hotel Comrade Inn,3,2023-03-02,Deluxe,4327.0,2,3,2,8654.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",3,25962.0,2023-03-05
14524,145,Mumbai,Ayodhya,Hotel Panchsheel,1,2023-03-30,Executive,1667.0,1,0,1,1667.0,"['Wi-Fi', 'Parking', 'Breakfast']",5,8335.0,2023-04-04
14530,145,Mumbai,Tirupati,Marasa Sarovar Premiere,5,2023-05-11,Executive,14084.0,4,1,3,42252.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",2,84504.0,2023-05-13
14533,146,Jaipur,Bengaluru,The Chancery Pavilion,4,2019-09-26,Executive,6912.0,3,1,2,13824.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna', 'Business Center']",4,55296.0,2019-09-30
14547,146,Nashik,Jaipur,Hotel Kalyan,1,2020-01-02,Suite,2074.0,1,1,1,2074.0,"['Wi-Fi', 'Parking']",2,4148.0,2020-01-04
14548,146,Varanasi,Kullu-Manali,Apple Country Resorts,4,2020-02-09,Suite,7522.0,1,2,1,7522.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",5,37610.0,2020-02-14
14552,146,Nashik,Vijayawada,Novotel Vijayawada Varun,5,2020-02-06,Deluxe,11810.0,3,3,3,35430.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",2,70860.0,2020-02-08
14556,146,Kullu-Manali,Shillong,Hotel Pegasus Crown,2,2020-03-05,Executive,2993.0,3,0,2,5986.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",7,41902.0,2020-03-12
14562,146,Bilaspur,Dabolim,The HQ,3,2020-04-16,Deluxe,4648.0,4,1,3,13944.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",4,55776.0,2020-04-20
14564,146,Bengaluru,Pune,Hyatt Pune,4,2020-04-30,Executive,8756.0,1,0,1,8756.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center', 'Sauna']",5,43780.0,2020-05-05
14567,146,Visakhapatnam,Ayodhya,Hotel Krishna Palace,2,2020-05-21,Deluxe,2866.0,1,1,1,2866.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",4,11464.0,2020-05-25
14570,146,Mysuru,Amritsar,Taj Swarna Amritsar,5,2020-06-11,Deluxe,10745.0,2,3,2,21490.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",7,150430.0,2020-06-18
14574,146,Imphal,Kullu-Manali,Hotel Snow Park,2,2020-08-09,Deluxe,3165.0,1,0,1,3165.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",7,22155.0,2020-08-16
14576,146,Srinagar,Kota,Hotel Lilac,3,2020-07-23,Suite,5426.0,3,2,3,16278.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",6,97668.0,2020-07-29
14579,146,Shillong,Tirupati,Treebo Trend SLS Grand,3,2020-08-13,Executive,5555.0,2,0,1,5555.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar']",1,5555.0,2020-08-14
14581,146,Varanasi,Mopa,Hotel La Grace,3,2020-08-27,Executive,4891.0,4,2,3,14673.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",6,88038.0,2020-09-02
14584,146,Raipur,Tirupati,Marasa Sarovar Premiere,5,2020-09-17,Deluxe,11917.0,2,2,2,23834.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler']",3,71502.0,2020-09-20
14585,146,Kota,Chandigarh,Hometel Chandigarh,3,2020-09-24,Suite,4740.0,4,0,2,9480.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",1,9480.0,2020-09-25
14587,146,Varanasi,Srinagar,Hotel Ahdoos,2,2020-10-08,Suite,4041.0,4,0,2,8082.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",2,16164.0,2020-10-10
14589,146,Udaipur,Bhopal,Hotel Shree Vatika,2,2020-10-22,Deluxe,2737.0,2,2,2,5474.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker', 'Laundry']",7,38318.0,2020-10-29
14595,146,Dabolim,Prayagraj,Hotel Milan Palace,2,2020-12-03,Suite,3266.0,4,0,2,6532.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",2,13064.0,2020-12-05
14596,146,Coimbatore,Gangtok,WelcomHeritage Denzong Regency,4,2020-12-10,Deluxe,5669.0,4,0,2,11338.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",5,56690.0,2020-12-15
14599,146,Raigarh,Delhi NCR,The Leela Palace,5,2021-01-01,Executive,13814.0,3,0,2,27628.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",3,82884.0,2021-01-04
14602,146,Vadodara,Shimla,Hotel Marina,3,2021-01-22,Deluxe,3314.0,2,1,2,6628.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",3,19884.0,2021-01-25
14604,146,Itanagar,Raigarh,Hotel Shubham Palace,5,2021-02-04,Deluxe,11416.0,4,1,3,34248.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",7,239736.0,2021-02-11
14609,146,Vadodara,Ranchi,Hotel Anjali,1,2021-03-11,Executive,1446.0,2,2,2,2892.0,"['Wi-Fi', 'Parking']",7,20244.0,2021-03-18
14611,146,Kolkata,Puducherry,Hotel Coramandal Heritage,1,2021-03-25,Deluxe,2027.0,2,1,2,4054.0,"['Wi-Fi', 'Parking', 'Breakfast']",2,8108.0,2021-03-27
14615,146,Pune,Shillong,Tripura Castle,5,2021-04-22,Suite,13995.0,3,0,2,27990.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",3,83970.0,2021-04-25
14630,146,Bhopal,Shillong,Tripura Castle,5,2021-08-05,Deluxe,10263.0,1,1,1,10263.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler', 'Limousine Service']",4,41052.0,2021-08-09
14631,146,Mumbai,Jaipur,Vesta International,3,2021-08-12,Suite,6777.0,2,0,1,6777.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",7,47439.0,2021-08-19
14634,146,Raipur,Bengaluru,Hotel Nandhini,2,2021-09-02,Suite,3609.0,2,0,1,3609.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker', 'Laundry']",3,10827.0,2021-09-05
14637,146,Chandigarh,Varanasi,Hotel Tridev,2,2021-09-23,Deluxe,2483.0,3,0,2,4966.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",5,24830.0,2021-09-28
14638,146,Ludhiana,Thiruvananthapuram,Hotel Blue Nest,1,2021-09-30,Suite,2409.0,3,0,2,4818.0,"['Wi-Fi', 'Parking', 'Breakfast', 'Housekeeping']",1,4818.0,2021-10-01
14639,146,Itanagar,Shimla,"Wildflower Hall, An Oberoi Resort",5,2021-10-07,Deluxe,11001.0,3,2,3,33003.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler', 'Limousine Service']",5,165015.0,2021-10-12
14641,146,Khowai,Gwalior,Taj Usha Kiran Palace,5,2021-10-21,Suite,16328.0,2,3,2,32656.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",3,97968.0,2021-10-24
14647,146,Visakhapatnam,Amritsar,Hotel Hong Kong Inn,3,2021-12-02,Suite,4616.0,2,1,2,9232.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",5,46160.0,2021-12-07
14648,146,Imphal,Vadodara,Hotel Skylight,1,2021-12-09,Deluxe,1182.0,3,3,3,3546.0,"['Wi-Fi', 'Parking', 'Breakfast', 'Housekeeping']",2,7092.0,2021-12-11
14650,146,Dabolim,Tirupati,Treebo Trend SLS Grand,3,2021-12-23,Deluxe,4700.0,1,0,1,4700.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle']",4,18800.0,2021-12-27
14652,146,Diu,Gwalior,Taj Usha Kiran Palace,5,2022-01-06,Executive,14150.0,2,0,1,14150.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",7,99050.0,2022-01-13
14662,146,Chandigarh,Bilaspur,Hotel East Park,2,2022-03-17,Suite,3736.0,1,1,1,3736.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry', 'Coffee Maker']",1,3736.0,2022-03-18
14663,146,Ayodhya,Patna,Hotel Chanakya Inn,1,2022-03-24,Deluxe,1566.0,1,2,1,1566.0,"['Wi-Fi', 'Parking']",4,6264.0,2022-03-28
14667,146,Chandigarh,Visakhapatnam,Hotel Lakshmi Grand,1,2022-04-21,Executive,2259.0,2,0,1,2259.0,"['Wi-Fi', 'Parking', 'Breakfast', 'Housekeeping']",1,2259.0,2022-04-22
14668,146,Delhi NCR,Gwalior,Clarks Inn Suites,4,2022-04-28,Suite,10326.0,4,0,2,20652.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna', 'Business Center']",2,41304.0,2022-04-30
14672,146,Gangtok,Gwalior,Clarks Inn Suites,4,2022-05-26,Executive,8949.0,1,2,1,8949.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",2,17898.0,2022-05-28
14675,146,Ranchi,Delhi NCR,The Hans,3,2022-06-16,Deluxe,4774.0,1,1,1,4774.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",5,23870.0,2022-06-21
14676,146,Raigarh,Hyderabad,Hotel Geetanjali,4,2022-06-23,Executive,7728.0,3,3,3,23184.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",7,162288.0,2022-06-30
14683,146,Guwahati,Gangtok,Hotel Tashi Delek,2,2022-08-11,Deluxe,2922.0,2,0,1,2922.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker', 'Laundry']",3,8766.0,2022-08-14
14684,146,Hyderabad,Imphal,The Classic Hotel,3,2022-08-18,Executive,6163.0,3,3,3,18489.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,73956.0,2022-08-22
14688,146,Mumbai,Patna,Hotel Maurya Patna,4,2022-09-15,Suite,9904.0,1,0,1,9904.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",6,59424.0,2022-09-21
14694,146,Ludhiana,Srinagar,Vivanta Dal View,4,2022-10-27,Executive,7635.0,2,1,2,15270.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",5,76350.0,2022-11-01
14696,146,Ayodhya,Kullu-Manali,The Himalayan,5,2022-11-10,Suite,14868.0,1,1,1,14868.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",3,44604.0,2022-11-13
14699,146,Shimla,Ahmedabad,Treebo Trend Ambassador,3,2022-12-01,Executive,3972.0,1,2,1,3972.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",4,15888.0,2022-12-05
14711,146,Kota,Itanagar,Hotel Donyi Polo Ashok,4,2023-02-23,Suite,8338.0,4,1,3,25014.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,50028.0,2023-02-25
14718,146,Mysuru,Shimla,Radisson Hotel Shimla,4,2023-04-13,Deluxe,6750.0,3,2,3,20250.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center', 'Rooftop Lounge']",6,121500.0,2023-04-19
14721,146,Diu,Hyderabad,Lemon Tree Hotel,4,2023-05-04,Executive,6926.0,4,3,4,27704.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center', 'Rooftop Lounge']",7,193928.0,2023-05-11
14722,146,Imphal,Gangtok,WelcomHeritage Denzong Regency,4,2023-05-11,Executive,6700.0,4,3,4,26800.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna', 'Rooftop Lounge']",7,187600.0,2023-05-18
14724,147,Khowai,Raigarh,Hotel Shubham Palace,5,2019-10-03,Suite,15567.0,4,2,3,46701.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Limousine Service', 'Helipad']",4,186804.0,2019-10-07
14728,147,Jaipur,Raigarh,Hotel Trinity Grand,4,2019-10-31,Suite,9345.0,1,2,1,9345.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna', 'Business Center']",7,65415.0,2019-11-07
14729,147,Mysuru,Prayagraj,Grand Continental Hotel,4,2019-11-07,Executive,8196.0,2,1,2,16392.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",7,114744.0,2019-11-14
14736,147,Raipur,Bhubaneswar,Mayfair Lagoon,5,2019-12-27,Suite,12927.0,3,3,3,38781.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",1,38781.0,2019-12-28
14737,147,Raipur,Navi Mumbai,Hotel Abbott,2,2020-01-02,Suite,4058.0,3,2,3,12174.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",6,73044.0,2020-01-08
14740,147,Bengaluru,Coimbatore,Vivanta Coimbatore,5,2020-01-23,Suite,14482.0,1,1,1,14482.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Limousine Service']",2,28964.0,2020-01-25
14745,147,Vadodara,Jaipur,Vesta International,3,2020-02-27,Executive,5873.0,1,0,1,5873.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",6,35238.0,2020-03-04
14746,147,Khowai,Udaipur,Hotel Dream Palace,1,2020-03-05,Deluxe,1235.0,2,1,2,2470.0,"['Wi-Fi', 'Parking']",4,9880.0,2020-03-09
14748,147,Hisar,Raipur,Courtyard by Marriott Raipur,5,2020-03-19,Executive,10604.0,2,2,2,21208.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",4,84832.0,2020-03-23
14766,148,Kota,Mysuru,Hotel Roopa,1,2020-01-23,Executive,2398.0,3,1,2,4796.0,"['Wi-Fi', 'Parking', 'Breakfast']",2,9592.0,2020-01-25
14767,148,Dabolim,Delhi NCR,Hotel Le Roi,1,2020-01-30,Executive,2335.0,1,1,1,2335.0,"['Wi-Fi', 'Parking', 'Housekeeping']",5,11675.0,2020-02-04
14769,148,Gwalior,Thiruvananthapuram,Keys Select Hotel,3,2020-02-13,Deluxe,4033.0,1,1,1,4033.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",7,28231.0,2020-02-20
14772,148,Bhopal,Varanasi,BrijRama Palace,5,2020-03-05,Executive,12242.0,2,3,2,24484.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Private Butler', 'Helipad']",4,97936.0,2020-03-09
14780,148,Ludhiana,Kolkata,The Oberoi Grand,5,2020-01-05,Deluxe,11649.0,4,0,2,23298.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",7,163086.0,2020-01-12
14800,148,Kota,Tirupati,Hotel Sandeep Residency,1,2020-09-17,Deluxe,1278.0,2,2,2,2556.0,"['Wi-Fi', 'Parking', 'Breakfast']",7,17892.0,2020-09-24
14801,148,Hyderabad,Varanasi,Ramada Plaza JHV,4,2020-09-24,Executive,7582.0,2,3,2,15164.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center']",4,60656.0,2020-09-28
14803,148,Shimla,Dabolim,The HQ,3,2020-10-08,Deluxe,4648.0,2,3,2,9296.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",5,46480.0,2020-10-13
14806,148,Prayagraj,Vadodara,Hampton by Hilton Vadodara,3,2020-10-30,Executive,5095.0,1,0,1,5095.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",1,5095.0,2020-10-31
14807,148,Coimbatore,Vijayawada,Hotel Manorama,1,2020-11-05,Deluxe,1116.0,2,1,2,2232.0,"['Wi-Fi', 'Parking', 'Housekeeping']",6,13392.0,2020-11-11
14808,148,Bilaspur,Mopa,Hotel La Grace,3,2020-11-12,Deluxe,4138.0,4,2,3,12414.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle']",1,12414.0,2020-11-13
14811,148,Diu,Gwalior,Hotel Grace,3,2020-12-03,Executive,4528.0,2,1,2,9056.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",3,27168.0,2020-12-06
14813,148,Prayagraj,Vadodara,The Fern Residency Vadodara,5,2020-12-17,Suite,15153.0,4,2,3,45459.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",4,181836.0,2020-12-21
14814,148,Hyderabad,Khowai,Hotel Royal Residency,3,2020-12-24,Executive,5457.0,1,1,1,5457.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",4,21828.0,2020-12-28
14818,148,Mopa,Patna,Lemon Tree Premier Patna,5,2021-01-21,Executive,10446.0,1,2,1,10446.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",7,73122.0,2021-01-28
14821,148,Coimbatore,Pune,Conrad Pune,5,2021-02-11,Executive,11986.0,3,2,3,35958.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Limousine Service', 'Helipad']",3,107874.0,2021-02-14
14824,148,Puducherry,Coimbatore,Gokulam Park Coimbatore,3,2021-03-04,Executive,5487.0,1,2,1,5487.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms']",2,10974.0,2021-03-06
14825,148,Pune,Thiruvananthapuram,Hotel Blue Nest,1,2021-03-11,Executive,2088.0,1,0,1,2088.0,"['Wi-Fi', 'Parking', 'Breakfast']",1,2088.0,2021-03-12
14826,148,Hisar,Gwalior,Taj Usha Kiran Palace,5,2021-03-18,Suite,16328.0,1,1,1,16328.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service', 'Private Butler']",7,114296.0,2021-03-25
14827,148,Varanasi,Amritsar,Hotel CJ International,2,2021-03-25,Suite,3442.0,1,0,1,3442.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",5,17210.0,2021-03-30
14833,148,Chandigarh,Thiruvananthapuram,Keys Select Hotel,3,2021-05-06,Deluxe,4033.0,3,1,2,8066.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",5,40330.0,2021-05-11
14834,148,Shimla,Navi Mumbai,Hotel Yogi Midtown,1,2021-05-13,Deluxe,1597.0,1,0,1,1597.0,"['Wi-Fi', 'Parking']",3,4791.0,2021-05-16
14844,148,Amritsar,Surat,Surat Marriott Hotel,5,2021-07-22,Suite,16005.0,2,2,2,32010.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",7,224070.0,2021-07-29
14845,148,Khowai,Raipur,Hotel VW Canyon,4,2021-07-29,Executive,8973.0,4,3,4,35892.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,107676.0,2021-08-01
14847,148,Nashik,Puducherry,Le Dupleix,3,2021-08-12,Suite,4953.0,1,2,1,4953.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms', 'Bar']",7,34671.0,2021-08-19
14848,148,Gwalior,Bhopal,Hotel Gaurav Palace,1,2021-08-19,Deluxe,1896.0,4,1,3,5688.0,"['Wi-Fi', 'Parking', 'Breakfast']",2,11376.0,2021-08-21
14850,148,Nashik,Kullu-Manali,Hotel Greenfields,1,2021-09-02,Suite,2331.0,2,1,2,4662.0,"['Wi-Fi', 'Parking', 'Breakfast', 'Housekeeping']",4,18648.0,2021-09-06
14852,148,Delhi NCR,Puri,Hotel Gandhara,2,2021-09-16,Suite,3674.0,1,1,1,3674.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker', 'Laundry']",5,18370.0,2021-09-21
14861,148,Surat,Jaipur,The Oberoi Rajvilas,5,2021-11-18,Executive,11706.0,1,0,1,11706.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",3,35118.0,2021-11-21
14863,148,Navi Mumbai,Ranchi,Chanakya BNR Hotel,5,2021-12-02,Suite,13084.0,3,0,2,26168.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Private Butler', 'Helipad']",5,130840.0,2021-12-07
14865,148,Coimbatore,Visakhapatnam,Hotel Lakshmi Grand,1,2021-12-16,Executive,2259.0,3,2,3,6777.0,"['Wi-Fi', 'Parking']",7,47439.0,2021-12-23
14870,148,Tirupati,Dabolim,Hotel Cliff,1,2022-01-20,Suite,1936.0,1,0,1,1936.0,"['Wi-Fi', 'Parking', 'Breakfast']",1,1936.0,2022-01-21
14873,148,Prayagraj,Vadodara,Hampton by Hilton Vadodara,3,2022-02-10,Deluxe,4311.0,4,1,3,12933.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",6,77598.0,2022-02-16
14876,148,Dabolim,Ahmedabad,Hyatt Regency Ahmedabad,5,2022-03-03,Deluxe,9018.0,1,1,1,9018.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",7,63126.0,2022-03-10
14878,148,Imphal,Nashik,Ginger Nashik,5,2022-03-17,Suite,12290.0,1,2,1,12290.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service', 'Private Butler']",1,12290.0,2022-03-18
14883,148,Hisar,Bhubaneswar,Swosti Premium,4,2022-04-21,Suite,10148.0,2,2,2,20296.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna', 'Business Center']",3,60888.0,2022-04-24
