guest_id,pax_id,special_requests,frequent_stay_hotel
GUEST01307,PAX01307,Late Check-out,HOTEL62
GUEST01308,PAX01308,None,HOTEL191
GUEST01309,PAX01309,None,HOTEL169
GUEST01310,PAX01310,Extra Bed,HOTEL265
GUEST01311,PAX01311,Late Check-out,HOTEL45
GUEST01312,PAX01312,Early Check-in,HOTEL68
GUEST01313,PAX01313,Extra Bed,HOTEL31
GUEST01314,PAX01314,Early Check-in,HOTEL336
GUEST01315,PAX01315,Early Check-in,HOTEL308
GUEST01316,PAX01316,None,HOTEL429
GUEST01317,PAX01317,Late Check-out,HOTEL180
GUEST01318,PAX01318,Early Check-in,HOTEL219
GUEST01319,PAX01319,None,HOTEL308
GUEST01320,PAX01320,None,HOTEL12
GUEST01321,PAX01321,Early Check-in,HOTEL237
GUEST01322,PAX01322,Early Check-in,HOTEL112
GUEST01323,PAX01323,None,HOTEL389
GUEST01324,PAX01324,Early Check-in,HOTEL106
GUEST01325,PAX01325,Late Check-out,HOTEL460
GUEST01326,PAX01326,None,HOTEL179
GUEST01327,PAX01327,Extra Bed,HOTEL312
GUEST01328,PAX01328,None,HOTEL7
GUEST01329,PAX01329,Early Check-in,HOTEL461
GUEST01330,PAX01330,Extra Bed,HOTEL434
GUEST01331,PAX01331,Extra Bed,HOTEL70
GUEST01332,PAX01332,Late Check-out,HOTEL32
GUEST01333,PAX01333,Late Check-out,HOTEL283
GUEST01334,PAX01334,Early Check-in,HOTEL37
GUEST01335,PAX01335,None,HOTEL55
GUEST01336,PAX01336,Early Check-in,HOTEL489
GUEST01337,PAX01337,None,HOTEL344
GUEST01338,PAX01338,Extra Bed,HOTEL240
GUEST01339,PAX01339,Late Check-out,HOTEL289
GUEST01340,PAX01340,Late Check-out,HOTEL432
GUEST01341,PAX01341,Late Check-out,HOTEL431
GUEST01342,PAX01342,Early Check-in,HOTEL279
GUEST01343,PAX01343,Extra Bed,HOTEL478
GUEST01344,PAX01344,Late Check-out,HOTEL20
GUEST01345,PAX01345,None,HOTEL325
GUEST01346,PAX01346,Extra Bed,HOTEL384
GUEST01347,PAX01347,Late Check-out,HOTEL239
GUEST01348,PAX01348,Early Check-in,HOTEL99
GUEST01349,PAX01349,Extra Bed,HOTEL450
GUEST01350,PAX01350,Extra Bed,HOTEL485
GUEST01351,PAX01351,None,HOTEL69
GUEST01352,PAX01352,None,HOTEL20
GUEST01353,PAX01353,Late Check-out,HOTEL214
GUEST01354,PAX01354,None,HOTEL351
GUEST01355,PAX01355,Early Check-in,HOTEL115
GUEST01356,PAX01356,Early Check-in,HOTEL244
GUEST01357,PAX01357,Extra Bed,HOTEL209
GUEST01358,PAX01358,Late Check-out,HOTEL38
GUEST01359,PAX01359,None,HOTEL193
GUEST01360,PAX01360,Early Check-in,HOTEL288
GUEST01361,PAX01361,Early Check-in,HOTEL333
GUEST01362,PAX01362,Late Check-out,HOTEL172
GUEST01363,PAX01363,Early Check-in,HOTEL167
GUEST01364,PAX01364,Extra Bed,HOTEL142
GUEST01365,PAX01365,None,HOTEL192
GUEST01366,PAX01366,Early Check-in,HOTEL296
GUEST01367,PAX01367,None,HOTEL325
GUEST01368,PAX01368,Late Check-out,HOTEL97
GUEST01369,PAX01369,Late Check-out,HOTEL245
GUEST01370,PAX01370,None,HOTEL167
GUEST01371,PAX01371,Extra Bed,HOTEL139
GUEST01372,PAX01372,Early Check-in,HOTEL24
GUEST01373,PAX01373,Late Check-out,HOTEL429
GUEST01374,PAX01374,Early Check-in,HOTEL335
GUEST01375,PAX01375,Extra Bed,HOTEL286
GUEST01376,PAX01376,Extra Bed,HOTEL236
GUEST01377,PAX01377,Late Check-out,HOTEL290
GUEST01378,PAX01378,Late Check-out,HOTEL86
GUEST01379,PAX01379,Early Check-in,HOTEL126
GUEST01380,PAX01380,None,HOTEL248
GUEST01381,PAX01381,Early Check-in,HOTEL350
GUEST01382,PAX01382,Early Check-in,HOTEL363
GUEST01383,PAX01383,Extra Bed,HOTEL129
GUEST01384,PAX01384,None,HOTEL126
GUEST01385,PAX01385,Late Check-out,HOTEL427
GUEST01386,PAX01386,Early Check-in,HOTEL315
GUEST01387,PAX01387,Extra Bed,HOTEL259
GUEST01388,PAX01388,Extra Bed,HOTEL388
GUEST01389,PAX01389,Early Check-in,HOTEL331
GUEST01390,PAX01390,Early Check-in,HOTEL106
GUEST01391,PAX01391,Early Check-in,HOTEL161
GUEST01392,PAX01392,None,HOTEL145
GUEST01393,PAX01393,Early Check-in,HOTEL494
GUEST01394,PAX01394,Early Check-in,HOTEL233
GUEST01395,PAX01395,None,HOTEL244
GUEST01396,PAX01396,Early Check-in,HOTEL77
GUEST01397,PAX01397,None,HOTEL243
GUEST01398,PAX01398,None,HOTEL466
GUEST01399,PAX01399,Extra Bed,HOTEL286
GUEST01400,PAX01400,Late Check-out,HOTEL498
GUEST01401,PAX01401,Extra Bed,HOTEL157
GUEST01402,PAX01402,None,HOTEL166
GUEST01403,PAX01403,Late Check-out,HOTEL11
GUEST01404,PAX01404,None,HOTEL308
GUEST01405,PAX01405,None,HOTEL151
GUEST01406,PAX01406,Early Check-in,HOTEL123
GUEST01407,PAX01407,Early Check-in,HOTEL462
GUEST01408,PAX01408,Late Check-out,HOTEL466
GUEST01409,PAX01409,Early Check-in,HOTEL42
GUEST01410,PAX01410,Extra Bed,HOTEL149
GUEST01411,PAX01411,None,HOTEL37
GUEST01412,PAX01412,Late Check-out,HOTEL214
GUEST01413,PAX01413,None,HOTEL345
GUEST01414,PAX01414,Extra Bed,HOTEL12
GUEST01415,PAX01415,Late Check-out,HOTEL201
GUEST01416,PAX01416,Extra Bed,HOTEL292
GUEST01417,PAX01417,Early Check-in,HOTEL210
GUEST01418,PAX01418,Late Check-out,HOTEL131
GUEST01419,PAX01419,Early Check-in,HOTEL346
GUEST01420,PAX01420,None,HOTEL1
GUEST01421,PAX01421,Early Check-in,HOTEL24
GUEST01422,PAX01422,Early Check-in,HOTEL344
GUEST01423,PAX01423,Late Check-out,HOTEL246
GUEST01424,PAX01424,Early Check-in,HOTEL304
GUEST01425,PAX01425,Extra Bed,HOTEL435
GUEST01426,PAX01426,Late Check-out,HOTEL410
GUEST01427,PAX01427,Extra Bed,HOTEL213
GUEST01428,PAX01428,Early Check-in,HOTEL15
GUEST01429,PAX01429,Early Check-in,HOTEL186
GUEST01430,PAX01430,Early Check-in,HOTEL350
GUEST01431,PAX01431,Late Check-out,HOTEL335
GUEST01432,PAX01432,Early Check-in,HOTEL419
GUEST01433,PAX01433,Late Check-out,HOTEL495
GUEST01434,PAX01434,Late Check-out,HOTEL254
GUEST01435,PAX01435,Extra Bed,HOTEL307
GUEST01436,PAX01436,Late Check-out,HOTEL344
GUEST01437,PAX01437,Early Check-in,HOTEL355
GUEST01438,PAX01438,Late Check-out,HOTEL442
GUEST01439,PAX01439,Late Check-out,HOTEL441
GUEST01440,PAX01440,Early Check-in,HOTEL466
GUEST01441,PAX01441,None,HOTEL114
GUEST01442,PAX01442,Extra Bed,HOTEL72
GUEST01443,PAX01443,Late Check-out,HOTEL26
GUEST01444,PAX01444,Early Check-in,HOTEL440
GUEST01445,PAX01445,None,HOTEL15
GUEST01446,PAX01446,None,HOTEL449
GUEST01447,PAX01447,Extra Bed,HOTEL169
GUEST01448,PAX01448,None,HOTEL199
GUEST01449,PAX01449,Extra Bed,HOTEL20
GUEST01450,PAX01450,Extra Bed,HOTEL417
GUEST01451,PAX01451,None,HOTEL327
GUEST01452,PAX01452,None,HOTEL224
GUEST01453,PAX01453,Extra Bed,HOTEL45
GUEST01454,PAX01454,None,HOTEL183
GUEST01455,PAX01455,None,HOTEL43
GUEST01456,PAX01456,Extra Bed,HOTEL171
GUEST01457,PAX01457,Early Check-in,HOTEL285
GUEST01458,PAX01458,None,HOTEL99
GUEST01459,PAX01459,None,HOTEL302
GUEST01460,PAX01460,Extra Bed,HOTEL359
GUEST01461,PAX01461,Late Check-out,HOTEL496
GUEST01462,PAX01462,None,HOTEL405
GUEST01463,PAX01463,Late Check-out,HOTEL277
GUEST01464,PAX01464,Late Check-out,HOTEL234
GUEST01465,PAX01465,Late Check-out,HOTEL277
GUEST01466,PAX01466,Extra Bed,HOTEL494
GUEST01467,PAX01467,Late Check-out,HOTEL140
GUEST01468,PAX01468,Early Check-in,HOTEL432
GUEST01469,PAX01469,Extra Bed,HOTEL123
GUEST01470,PAX01470,Early Check-in,HOTEL60
GUEST01471,PAX01471,Extra Bed,HOTEL425
GUEST01472,PAX01472,None,HOTEL381
GUEST01473,PAX01473,None,HOTEL252
GUEST01474,PAX01474,Early Check-in,HOTEL285
GUEST01475,PAX01475,Early Check-in,HOTEL180
GUEST01476,PAX01476,Late Check-out,HOTEL248
GUEST01477,PAX01477,Late Check-out,HOTEL34
GUEST01478,PAX01478,None,HOTEL86
GUEST01479,PAX01479,None,HOTEL349
GUEST01480,PAX01480,Early Check-in,HOTEL84
GUEST01481,PAX01481,None,HOTEL284
GUEST01482,PAX01482,Extra Bed,HOTEL250
GUEST01483,PAX01483,Extra Bed,HOTEL213
GUEST01484,PAX01484,Extra Bed,HOTEL2
GUEST01485,PAX01485,Extra Bed,HOTEL450
GUEST01486,PAX01486,Late Check-out,HOTEL121
GUEST01487,PAX01487,Late Check-out,HOTEL487
GUEST01488,PAX01488,Extra Bed,HOTEL357
GUEST01489,PAX01489,Extra Bed,HOTEL419
GUEST01490,PAX01490,Late Check-out,HOTEL186
GUEST01491,PAX01491,Early Check-in,HOTEL157
GUEST01492,PAX01492,Early Check-in,HOTEL278
GUEST01493,PAX01493,Extra Bed,HOTEL446
GUEST01494,PAX01494,None,HOTEL55
GUEST01495,PAX01495,None,HOTEL155
GUEST01496,PAX01496,Early Check-in,HOTEL142
GUEST01497,PAX01497,Extra Bed,HOTEL381
GUEST01498,PAX01498,Extra Bed,HOTEL490
GUEST01499,PAX01499,Early Check-in,HOTEL278
GUEST01500,PAX01500,Late Check-out,HOTEL272
GUEST01501,PAX01501,Late Check-out,HOTEL476
GUEST01502,PAX01502,Extra Bed,HOTEL144
GUEST01503,PAX01503,None,HOTEL77
GUEST01504,PAX01504,Early Check-in,HOTEL17
GUEST01505,PAX01505,Late Check-out,HOTEL141
GUEST01506,PAX01506,Early Check-in,HOTEL39
GUEST01507,PAX01507,Late Check-out,HOTEL471
GUEST01508,PAX01508,None,HOTEL211
GUEST01509,PAX01509,None,HOTEL385
GUEST01510,PAX01510,Early Check-in,HOTEL42
GUEST01511,PAX01511,Early Check-in,HOTEL283
GUEST01512,PAX01512,Early Check-in,HOTEL366
GUEST01513,PAX01513,None,HOTEL443
GUEST01514,PAX01514,Late Check-out,HOTEL181
GUEST01515,PAX01515,None,HOTEL151
GUEST01516,PAX01516,None,HOTEL386
GUEST01517,PAX01517,Extra Bed,HOTEL84
GUEST01518,PAX01518,None,HOTEL328
GUEST01519,PAX01519,Late Check-out,HOTEL413
GUEST01520,PAX01520,Early Check-in,HOTEL58
GUEST01521,PAX01521,None,HOTEL193
GUEST01522,PAX01522,Extra Bed,HOTEL461
GUEST01523,PAX01523,Late Check-out,HOTEL180
GUEST01524,PAX01524,Late Check-out,HOTEL98
GUEST01525,PAX01525,Early Check-in,HOTEL474
GUEST01526,PAX01526,None,HOTEL400
GUEST01527,PAX01527,Extra Bed,HOTEL216
GUEST01528,PAX01528,Extra Bed,HOTEL133
GUEST01529,PAX01529,Early Check-in,HOTEL176
GUEST01530,PAX01530,Early Check-in,HOTEL315
GUEST01531,PAX01531,Extra Bed,HOTEL421
GUEST01532,PAX01532,Extra Bed,HOTEL415
GUEST01533,PAX01533,Extra Bed,HOTEL172
GUEST01534,PAX01534,Late Check-out,HOTEL396
GUEST01535,PAX01535,Late Check-out,HOTEL25
GUEST01536,PAX01536,None,HOTEL2
GUEST01537,PAX01537,Early Check-in,HOTEL202
GUEST01538,PAX01538,Early Check-in,HOTEL74
GUEST01539,PAX01539,Early Check-in,HOTEL167
GUEST01540,PAX01540,Late Check-out,HOTEL268
GUEST01541,PAX01541,None,HOTEL235
GUEST01542,PAX01542,Late Check-out,HOTEL235
GUEST01543,PAX01543,Late Check-out,HOTEL487
GUEST01544,PAX01544,Late Check-out,HOTEL65
GUEST01545,PAX01545,Extra Bed,HOTEL413
GUEST01546,PAX01546,None,HOTEL399
GUEST01547,PAX01547,Late Check-out,HOTEL11
GUEST01548,PAX01548,Extra Bed,HOTEL247
GUEST01549,PAX01549,Extra Bed,HOTEL2
GUEST01550,PAX01550,None,HOTEL21
GUEST01551,PAX01551,Extra Bed,HOTEL41
GUEST01552,PAX01552,Late Check-out,HOTEL199
GUEST01553,PAX01553,None,HOTEL276
GUEST01554,PAX01554,Extra Bed,HOTEL390
GUEST01555,PAX01555,Early Check-in,HOTEL399
GUEST01556,PAX01556,Extra Bed,HOTEL122
GUEST01557,PAX01557,None,HOTEL285
GUEST01558,PAX01558,Extra Bed,HOTEL206
GUEST01559,PAX01559,None,HOTEL229
GUEST01560,PAX01560,Late Check-out,HOTEL484
GUEST01561,PAX01561,Early Check-in,HOTEL13
GUEST01562,PAX01562,Extra Bed,HOTEL405
GUEST01563,PAX01563,Late Check-out,HOTEL314
GUEST01564,PAX01564,Late Check-out,HOTEL215
GUEST01565,PAX01565,Late Check-out,HOTEL488
GUEST01566,PAX01566,None,HOTEL377
GUEST01567,PAX01567,None,HOTEL44
GUEST01568,PAX01568,None,HOTEL143
GUEST01569,PAX01569,Late Check-out,HOTEL245
GUEST01570,PAX01570,Late Check-out,HOTEL21
GUEST01571,PAX01571,None,HOTEL109
GUEST01572,PAX01572,None,HOTEL215
GUEST01573,PAX01573,Extra Bed,HOTEL37
GUEST01574,PAX01574,None,HOTEL265
GUEST01575,PAX01575,Extra Bed,HOTEL373
GUEST01576,PAX01576,Late Check-out,HOTEL445
GUEST01577,PAX01577,Late Check-out,HOTEL128
GUEST01578,PAX01578,Late Check-out,HOTEL102
GUEST01579,PAX01579,None,HOTEL98
GUEST01580,PAX01580,None,HOTEL216
GUEST01581,PAX01581,Late Check-out,HOTEL103
GUEST01582,PAX01582,Extra Bed,HOTEL164
GUEST01583,PAX01583,None,HOTEL328
GUEST01584,PAX01584,Extra Bed,HOTEL155
GUEST01585,PAX01585,Extra Bed,HOTEL308
GUEST01586,PAX01586,None,HOTEL346
GUEST01587,PAX01587,Extra Bed,HOTEL393
GUEST01588,PAX01588,Early Check-in,HOTEL495
GUEST01589,PAX01589,None,HOTEL107
GUEST01590,PAX01590,Late Check-out,HOTEL421
GUEST01591,PAX01591,Extra Bed,HOTEL140
GUEST01592,PAX01592,Extra Bed,HOTEL421
GUEST01593,PAX01593,Early Check-in,HOTEL225
GUEST01594,PAX01594,Late Check-out,HOTEL32
GUEST01595,PAX01595,Early Check-in,HOTEL194
GUEST01596,PAX01596,Late Check-out,HOTEL446
GUEST01597,PAX01597,Early Check-in,HOTEL111
GUEST01598,PAX01598,Early Check-in,HOTEL466
GUEST01599,PAX01599,Early Check-in,HOTEL67
GUEST01600,PAX01600,Early Check-in,HOTEL64
GUEST01601,PAX01601,None,HOTEL341
GUEST01602,PAX01602,Early Check-in,HOTEL346
GUEST01603,PAX01603,None,HOTEL329
GUEST01604,PAX01604,Extra Bed,HOTEL442
GUEST01605,PAX01605,None,HOTEL458
GUEST01606,PAX01606,Extra Bed,HOTEL242
GUEST01607,PAX01607,Extra Bed,HOTEL424
GUEST01608,PAX01608,None,HOTEL402
GUEST01609,PAX01609,Late Check-out,HOTEL493
GUEST01610,PAX01610,Early Check-in,HOTEL128
GUEST01611,PAX01611,Early Check-in,HOTEL196
GUEST01612,PAX01612,Late Check-out,HOTEL372
GUEST01613,PAX01613,None,HOTEL492
GUEST01614,PAX01614,Early Check-in,HOTEL262
GUEST01615,PAX01615,Late Check-out,HOTEL447
GUEST01616,PAX01616,None,HOTEL107
GUEST01617,PAX01617,Extra Bed,HOTEL341
GUEST01618,PAX01618,Early Check-in,HOTEL408
GUEST01619,PAX01619,Extra Bed,HOTEL6
GUEST01620,PAX01620,Extra Bed,HOTEL255
GUEST01621,PAX01621,Extra Bed,HOTEL132
GUEST01622,PAX01622,Late Check-out,HOTEL391
GUEST01623,PAX01623,None,HOTEL360
GUEST01624,PAX01624,Extra Bed,HOTEL20
GUEST01625,PAX01625,Extra Bed,HOTEL157
GUEST01626,PAX01626,Extra Bed,HOTEL386
GUEST01627,PAX01627,Early Check-in,HOTEL167
GUEST01628,PAX01628,Late Check-out,HOTEL293
GUEST01629,PAX01629,Extra Bed,HOTEL474
GUEST01630,PAX01630,Extra Bed,HOTEL286
GUEST01631,PAX01631,None,HOTEL405
GUEST01632,PAX01632,Extra Bed,HOTEL287
GUEST01633,PAX01633,None,HOTEL211
GUEST01634,PAX01634,Late Check-out,HOTEL356
GUEST01635,PAX01635,Early Check-in,HOTEL409
GUEST01636,PAX01636,Early Check-in,HOTEL26
GUEST01637,PAX01637,Late Check-out,HOTEL277
GUEST01638,PAX01638,Extra Bed,HOTEL292
GUEST01639,PAX01639,Late Check-out,HOTEL245
GUEST01640,PAX01640,None,HOTEL246
GUEST01641,PAX01641,Extra Bed,HOTEL359
GUEST01642,PAX01642,None,HOTEL366
GUEST01643,PAX01643,None,HOTEL449
GUEST01644,PAX01644,Early Check-in,HOTEL69
GUEST01645,PAX01645,Late Check-out,HOTEL281
GUEST01646,PAX01646,Late Check-out,HOTEL86
GUEST01647,PAX01647,None,HOTEL349
GUEST01648,PAX01648,Late Check-out,HOTEL256
GUEST01649,PAX01649,Early Check-in,HOTEL6
GUEST01650,PAX01650,Early Check-in,HOTEL320
GUEST01651,PAX01651,Late Check-out,HOTEL53
GUEST01652,PAX01652,Extra Bed,HOTEL445
GUEST01653,PAX01653,None,HOTEL409
GUEST01654,PAX01654,Extra Bed,HOTEL14
GUEST01655,PAX01655,Extra Bed,HOTEL399
GUEST01656,PAX01656,Late Check-out,HOTEL1
GUEST01657,PAX01657,Late Check-out,HOTEL268
GUEST01658,PAX01658,Late Check-out,HOTEL393
GUEST01659,PAX01659,Early Check-in,HOTEL165
GUEST01660,PAX01660,Late Check-out,HOTEL427
GUEST01661,PAX01661,Early Check-in,HOTEL359
GUEST01662,PAX01662,Early Check-in,HOTEL291
GUEST01663,PAX01663,Early Check-in,HOTEL439
GUEST01664,PAX01664,None,HOTEL434
GUEST01665,PAX01665,Late Check-out,HOTEL483
GUEST01666,PAX01666,Early Check-in,HOTEL422
GUEST01667,PAX01667,Early Check-in,HOTEL469
GUEST01668,PAX01668,Early Check-in,HOTEL29
GUEST01669,PAX01669,Extra Bed,HOTEL169
GUEST01670,PAX01670,None,HOTEL411
GUEST01671,PAX01671,None,HOTEL105
GUEST01672,PAX01672,Early Check-in,HOTEL448
GUEST01673,PAX01673,Early Check-in,HOTEL259
GUEST01674,PAX01674,Extra Bed,HOTEL47
GUEST01675,PAX01675,None,HOTEL35
GUEST01676,PAX01676,Early Check-in,HOTEL268
GUEST01677,PAX01677,Extra Bed,HOTEL387
GUEST01678,PAX01678,Late Check-out,HOTEL306
GUEST01679,PAX01679,Late Check-out,HOTEL374
GUEST01680,PAX01680,None,HOTEL449
GUEST01681,PAX01681,Extra Bed,HOTEL51
GUEST01682,PAX01682,Late Check-out,HOTEL104
GUEST01683,PAX01683,Late Check-out,HOTEL409
GUEST01684,PAX01684,None,HOTEL71
GUEST01685,PAX01685,None,HOTEL113
GUEST01686,PAX01686,Early Check-in,HOTEL79
GUEST01687,PAX01687,Extra Bed,HOTEL58
GUEST01688,PAX01688,Late Check-out,HOTEL325
GUEST01689,PAX01689,Extra Bed,HOTEL132
GUEST01690,PAX01690,Late Check-out,HOTEL455
GUEST01691,PAX01691,Extra Bed,HOTEL225
GUEST01692,PAX01692,None,HOTEL285
GUEST01693,PAX01693,Late Check-out,HOTEL401
GUEST01694,PAX01694,Early Check-in,HOTEL363
GUEST01695,PAX01695,Extra Bed,HOTEL445
GUEST01696,PAX01696,Extra Bed,HOTEL423
GUEST01697,PAX01697,Late Check-out,HOTEL483
GUEST01698,PAX01698,Early Check-in,HOTEL464
GUEST01699,PAX01699,Extra Bed,HOTEL481
GUEST01700,PAX01700,Early Check-in,HOTEL450
GUEST01701,PAX01701,None,HOTEL165
GUEST01702,PAX01702,None,HOTEL364
GUEST01703,PAX01703,Late Check-out,HOTEL338
GUEST01704,PAX01704,Extra Bed,HOTEL391
GUEST01705,PAX01705,Late Check-out,HOTEL113
GUEST01706,PAX01706,None,HOTEL300
GUEST01707,PAX01707,Extra Bed,HOTEL35
GUEST01708,PAX01708,None,HOTEL324
GUEST01709,PAX01709,Extra Bed,HOTEL365
GUEST01710,PAX01710,Extra Bed,HOTEL127
GUEST01711,PAX01711,Early Check-in,HOTEL342
GUEST01712,PAX01712,Extra Bed,HOTEL301
GUEST01713,PAX01713,Late Check-out,HOTEL452
GUEST01714,PAX01714,Extra Bed,HOTEL163
GUEST01715,PAX01715,Early Check-in,HOTEL453
GUEST01716,PAX01716,None,HOTEL283
GUEST01717,PAX01717,Late Check-out,HOTEL232
GUEST01718,PAX01718,Extra Bed,HOTEL51
GUEST01719,PAX01719,None,HOTEL135
GUEST01720,PAX01720,Early Check-in,HOTEL269
GUEST01721,PAX01721,Early Check-in,HOTEL69
GUEST01722,PAX01722,Extra Bed,HOTEL185
GUEST01723,PAX01723,Early Check-in,HOTEL244
GUEST01724,PAX01724,Late Check-out,HOTEL458
GUEST01725,PAX01725,None,HOTEL317
GUEST01726,PAX01726,Extra Bed,HOTEL402
GUEST01727,PAX01727,Extra Bed,HOTEL90
GUEST01728,PAX01728,Extra Bed,HOTEL393
GUEST01729,PAX01729,Early Check-in,HOTEL255
GUEST01730,PAX01730,Early Check-in,HOTEL34
GUEST01731,PAX01731,None,HOTEL90
GUEST01732,PAX01732,Extra Bed,HOTEL473
GUEST01733,PAX01733,Extra Bed,HOTEL375
GUEST01734,PAX01734,Late Check-out,HOTEL469
GUEST01735,PAX01735,Early Check-in,HOTEL468
GUEST01736,PAX01736,Early Check-in,HOTEL160
GUEST01737,PAX01737,Late Check-out,HOTEL363
GUEST01738,PAX01738,Late Check-out,HOTEL384
GUEST01739,PAX01739,None,HOTEL429
GUEST01740,PAX01740,Extra Bed,HOTEL121
GUEST01741,PAX01741,Late Check-out,HOTEL422
GUEST01742,PAX01742,Extra Bed,HOTEL117
GUEST01743,PAX01743,None,HOTEL484
GUEST01744,PAX01744,Late Check-out,HOTEL124
GUEST01745,PAX01745,Extra Bed,HOTEL327
GUEST01746,PAX01746,Late Check-out,HOTEL417
GUEST01747,PAX01747,Extra Bed,HOTEL180
GUEST01748,PAX01748,Early Check-in,HOTEL373
GUEST01749,PAX01749,Extra Bed,HOTEL87
GUEST01750,PAX01750,Extra Bed,HOTEL214
GUEST01751,PAX01751,None,HOTEL272
GUEST01752,PAX01752,Late Check-out,HOTEL65
GUEST01753,PAX01753,Early Check-in,HOTEL96
GUEST01754,PAX01754,None,HOTEL270
GUEST01755,PAX01755,Extra Bed,HOTEL440
GUEST01756,PAX01756,Early Check-in,HOTEL445
GUEST01757,PAX01757,Late Check-out,HOTEL342
GUEST01758,PAX01758,Late Check-out,HOTEL65
GUEST01759,PAX01759,Extra Bed,HOTEL238
GUEST01760,PAX01760,None,HOTEL177
GUEST01761,PAX01761,Extra Bed,HOTEL163
GUEST01762,PAX01762,Extra Bed,HOTEL82
GUEST01763,PAX01763,Early Check-in,HOTEL68
GUEST01764,PAX01764,Late Check-out,HOTEL324
GUEST01765,PAX01765,Late Check-out,HOTEL223
GUEST01766,PAX01766,None,HOTEL408
GUEST01767,PAX01767,Extra Bed,HOTEL446
GUEST01768,PAX01768,Early Check-in,HOTEL268
GUEST01769,PAX01769,None,HOTEL73
GUEST01770,PAX01770,Late Check-out,HOTEL142
GUEST01771,PAX01771,None,HOTEL92
GUEST01772,PAX01772,Extra Bed,HOTEL163
GUEST01773,PAX01773,Extra Bed,HOTEL445
GUEST01774,PAX01774,Extra Bed,HOTEL332
GUEST01775,PAX01775,Early Check-in,HOTEL384
GUEST01776,PAX01776,Early Check-in,HOTEL23
GUEST01777,PAX01777,Extra Bed,HOTEL487
GUEST01778,PAX01778,None,HOTEL17
GUEST01779,PAX01779,Extra Bed,HOTEL154
GUEST01780,PAX01780,Extra Bed,HOTEL244
GUEST01781,PAX01781,Extra Bed,HOTEL94
GUEST01782,PAX01782,Extra Bed,HOTEL465
GUEST01783,PAX01783,Late Check-out,HOTEL324
GUEST01784,PAX01784,Late Check-out,HOTEL86
GUEST01785,PAX01785,Early Check-in,HOTEL176
GUEST01786,PAX01786,Late Check-out,HOTEL60
GUEST01787,PAX01787,Late Check-out,HOTEL111
GUEST01788,PAX01788,Extra Bed,HOTEL316
GUEST01789,PAX01789,Late Check-out,HOTEL33
GUEST01790,PAX01790,Extra Bed,HOTEL467
GUEST01791,PAX01791,Early Check-in,HOTEL376
GUEST01792,PAX01792,None,HOTEL256
GUEST01793,PAX01793,Early Check-in,HOTEL212
GUEST01794,PAX01794,Extra Bed,HOTEL406
GUEST01795,PAX01795,Late Check-out,HOTEL123
GUEST01796,PAX01796,None,HOTEL203
GUEST01797,PAX01797,Early Check-in,HOTEL441
GUEST01798,PAX01798,Extra Bed,HOTEL375
GUEST01799,PAX01799,None,HOTEL428
GUEST01800,PAX01800,None,HOTEL324
GUEST01801,PAX01801,Late Check-out,HOTEL90
GUEST01802,PAX01802,Early Check-in,HOTEL155
GUEST01803,PAX01803,Early Check-in,HOTEL183
GUEST01804,PAX01804,None,HOTEL18
GUEST01805,PAX01805,Late Check-out,HOTEL319
GUEST01806,PAX01806,Late Check-out,HOTEL150
GUEST01807,PAX01807,Early Check-in,HOTEL237
GUEST01808,PAX01808,Late Check-out,HOTEL273
GUEST01809,PAX01809,Late Check-out,HOTEL399
GUEST01810,PAX01810,None,HOTEL196
GUEST01811,PAX01811,Early Check-in,HOTEL110
GUEST01812,PAX01812,None,HOTEL354
GUEST01813,PAX01813,Late Check-out,HOTEL456
GUEST01814,PAX01814,None,HOTEL65
GUEST01815,PAX01815,Extra Bed,HOTEL201
GUEST01816,PAX01816,Extra Bed,HOTEL96
GUEST01817,PAX01817,None,HOTEL445
GUEST01818,PAX01818,Late Check-out,HOTEL7
GUEST01819,PAX01819,Extra Bed,HOTEL99
GUEST01820,PAX01820,Late Check-out,HOTEL142
GUEST01821,PAX01821,Early Check-in,HOTEL252
GUEST01822,PAX01822,Early Check-in,HOTEL290
GUEST01823,PAX01823,Late Check-out,HOTEL1
GUEST01824,PAX01824,Extra Bed,HOTEL218
GUEST01825,PAX01825,Late Check-out,HOTEL182
GUEST01826,PAX01826,None,HOTEL17
GUEST01827,PAX01827,None,HOTEL28
GUEST01828,PAX01828,Extra Bed,HOTEL421
GUEST01829,PAX01829,Extra Bed,HOTEL465
GUEST01830,PAX01830,Late Check-out,HOTEL74
GUEST01831,PAX01831,Late Check-out,HOTEL52
GUEST01832,PAX01832,Early Check-in,HOTEL341
GUEST01833,PAX01833,Early Check-in,HOTEL486
GUEST01834,PAX01834,None,HOTEL337
GUEST01835,PAX01835,None,HOTEL453
GUEST01836,PAX01836,Early Check-in,HOTEL185
GUEST01837,PAX01837,Early Check-in,HOTEL246
GUEST01838,PAX01838,None,HOTEL343
GUEST01839,PAX01839,None,HOTEL255
GUEST01840,PAX01840,Early Check-in,HOTEL496
GUEST01841,PAX01841,Late Check-out,HOTEL150
GUEST01842,PAX01842,Late Check-out,HOTEL124
GUEST01843,PAX01843,None,HOTEL275
GUEST01844,PAX01844,Early Check-in,HOTEL364
GUEST01845,PAX01845,Extra Bed,HOTEL171
GUEST01846,PAX01846,Early Check-in,HOTEL343
GUEST01847,PAX01847,Extra Bed,HOTEL83
