Location;Hotel;UserID;Title;Review;Rating;Value;Accessibility;Service;Room;Cleanliness;Sleep Quality
Legian Kuta Bali;Merccure Bali Legian;John M;Great Modern Hotel;Very happy with the room and facilities at this hotel. A little away from the beach but with 2 pools always somewhere to cool off. Breakfast is good. Only gripe is only 1 chair on the balcony and after requesting another no one has delivered. Other than that staff are q te proficient.;5;0;0;0;1;0;0
Legian Kuta Bali;Merccure Bali Legian;SonjaSas;Friendly, q et hotel close to shops;Great breakfast with a large buffet and lots of variety. Nice room although housekeeping often didn't clean the room until the afternoon. The hotel has 2 pools which are a good size but often there are no seats/lounges by 10am so you may have to wait for someone to leave. The hotel is located on Legian street which is the main street and so close to shops, markets, restaurants etc. The room I had wasn't noisy at all (307). Very friendly staff who remember you from the 1st day. All my requests were met with minimal fuss. Will definitely stay again next time.;4;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;irus_tw;Excellent performance for the team in Hotel Bali Legian;It's my second time to stay Mercure Bali Legian when in Bali, I have to say here always provides me surprise and unforgettable experience , with the truly and care response from the guest experience manager :Lia on my first review last time , I would like to choose Mercure Bali Legian again and wonder to know if something special could cheer the interesting for return guest. Before make a reservation, I find the suggestion from GRO Melisa who help me check in last time and know some room detail, as an Accor plus gold member, I got the upgrade to the best balcony room with an outdoor sofa and tables under the Ancak tree, I could lied down outside and enjoy the atmosphere there in the leisure night, and the day when I check in at hotel, the room key was already been prepared in;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;SarahJouf;Best relaxing holidays;I visited Bali for the first time and I chose Mercure Bali Legian as it was a french company that I knew. Everything from the facilites to the service met my expectations. The staff were lovely and we felt really welcome on our arrival. I recommend this hotel because the location is just perfect, closed by shops in Kuta area and nice restaurants in Seminyak. To go really into the details, I would say that the housekeeping service could be improved (towels missing sometimes as we were 2 persons).;5;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;gw2rees;best ever stay in bali;Can not speak more highly of the staff, we where really impressed with the 5 course meal we had at the restaurant, world class dinning experience, the staff service was top class. The rooms was q te and house staff where great. We will be staying at the hotel the next time we holiday bali which will be in October.;5;0;0;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;tabatha j;Great friendly hotel;We stayed in a plunge pool room for 10 nights on a Scoopon deal with for a 50 th birthday trip with 10 adults and 3 kids . We have stayed in Seminyak in the past and this was certainly a busier part of Bali to stay with crazy traffic and many markets but inside the hotel was lovely and great value - we could not fault the food , service and I think the staff make this hotel ( I was unwell for a day and staff came to check on me in my room and see if they could help in anyway and check if I was ok ) . The grounds are immaculate and the pool areas lovely , I have heard that many people complain about the heat in the dining areas but hey this is Bali and it's warm ! We hardly used our plunge pool as we travelled as a group and spent our down time near the bottom pool and every meal;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Lisa B;Great Location Nice Hotel;We stayed here for 5 nights in May 2016 Our room was clean with a private plunge pool We didn't really use the private pool as the pool on the rooftop was far more inviting I had the most glorious massage in the hotel spa The food is the restaurant is good with a very extensive selection for the breakfast buffet I booked this stay with a Webjet special offer including a free lunch and dinner transfers and a few other inclusions The service was exceptional l emailed the hotel several times prior to our arrival and they always responded promptly Great location close to the beach and shopping right outside the hotel with a reputable money changer across the road Beware of a spa down the road called Jodi's on the left hand side of the road near the guardian chemist they are;4;0;1;0;1;0;0
Legian Kuta Bali;Merccure Bali Legian;ZakLee8;Impeccable service and spectacular facilities;This hotel exudes style. The service is second to none, all staff are professional and make you feel at home. It definitely stands out as one of the best hotels in the Legian/Kuta area for value, service and facilities. The pools and gym are sensational. Quality Italian restaurant located right next door. A special mention to both Melisa and Lia for their extremely friendly natures and impeccable service. Both ladies are an invaluable asset to this hotel and the Accor brand. Im positive they will progress with this dynamic company. This hotel knows how to look after their Accor members and guests. I look forward to staying here again. Thank you for such a tremendous experience.;5;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Mahagiri Villas S;Great Stay;"Been stay twice, rooms and food were great. Highly recommended to guests who wants to stay around Legian. Staying purpose was for business trip. The staff was amazing; greetings and acknowledged upon arrival and departure. Room is very clean and we'll decorated. We had a large balcony with table and chairs plus a double day bed. The room had a king size bed and all the normal features that you expect. There are two pool areas, one on the ground floor and then a second on the 4th floor with large bar and music, more for adults where as the ground floor is more for families with children.";5;0;0;0;1;1;0
Legian Kuta Bali;Merccure Bali Legian;jonathon h;Great value;Stayed here in February in an executive s te. The room was modern clean & very spacious, also the bathroom was q te roomy. Breakfast was included as is the case with most hotels in Bali nowadays, the quality & supply was aplenty. The roof top pool was great & had a good atmosphere. The only negative was our room was located to the front of the hotel & the night traffic was very loud. Overall a great hotel at a good price.;4;0;0;0;1;0;0
Legian Kuta Bali;Merccure Bali Legian;Karyna R;8 night Scoopon Voucher;I love everything about this hotel. From the moment we were picked up from the hotel by a helpful driver I knew we had made the right choice to book here. Every staff member is so welcoming and really go the extra mile to help with anything we need. Our voucher gave us access to full buffet breakfast every morning with free massages and dinners, the breakfast buffet is amazing and a great way to start to day. We stayed in a private plunge pool room and it was absolutely beautiful! I would definitely come back here 100 times over and I highly recommend it to anyone visiting bali for the first time, it's so central to everything we needed. Thank you so much Mercure for making our holiday great!;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Maria H;Great balcony good room;Room is very clean and we'll decorated. We had a large balcony with table and chairs plus a double day bed. The room had a king size bed and all the normal features that you expect. The staff are really nice and nouthing is to much trouble. There are two pool areas, one on the ground floor and then a second on the 4th floor with large bar and music, more for adults where as the ground floor is more for families with children. All in all, a wonderful hotel to spend your days in while in Bali and good position for getting around .;5;0;0;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;Pedro R;Excellent choice for your stay in Bali;We really enjoyed staying in the hotel. The service was really good, in general all staff were very friendly and willing to help, especially Budi during the breakfast time. He was very polite and enthusiastic we could tell he really loves his job. Our room was always very clean and the bed and pillows extremely comfortable. Installations are new-like and in excellent conditions. We loved the terrace and the pool view. Definitely worth booking a room with a view. The AC in our room worked really good. Managers approached us during our stay to make sure we were having a pleasant stay. Everyone in the hotel are doing their absolute best to ensure you are having a good time. The hotel has 2 big swimming pools and a good gym as well as spa facilities with very experience personnel.;5;0;0;1;1;1;1
Legian Kuta Bali;Merccure Bali Legian;nia755;wonderfull stay;"nice and huge hotel in Legian area. Closed to shopping area, Having Dinner at Bella Italia front of the hotel. It""s the best Italian Restaurant. And having treatment at the Spa inside of the hotel next door, it's very fantastic massage with reasonable price. Very enjoyed stay at Mercure...I will be back to this hotel.";4;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Barry646;A great week at the Mercure;This is our third time in Bali and we have stayed at a different hotel each time. The Mercure is by far the best we have stayed in to date. The room was large with a plunge pool. Plenty of space to spread out and relax. The staff we great and always very pleasant and helpful. The hotel is well located for shopping and eating in either Kuta or Seminyak. Would happily stay there again;5;0;1;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;Ezebob;4Star Affordable Hotel in Kuta area yet the best amenities;Thanks for your hospitality Ms Pauline Lahai, The Senior Sales Manager of Mercure Legian for the room inspection. The next day, I'm in love with this hotel and straight away check in to try the ambience offered. During check in, the reservation officer warmly welcome me. Two of them namely Ms Priscilla and Ms Eni is unforgettable. Thanks for the Deluxe Room offered at Level 5 facing the cities (a bit of sea facing), eventhough all the room is non smoking, but with that superb balcony outdoor, I can smoke heavenly without doubt. Overall, 5star service nice staff, everywhere you go, greeted with smile.;5;0;0;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;MattFitzsimmons;Superb spot and a great pool;Stayed there a few weeks ago now. Great spot. Pool overlooking the road - so you lean over and watch the antics. Great restaurants and bars within 100m but there is one thing that this hotel does better than anyone.... the staff - they are simply the friendliest, kost professional and friendliest group I have ever met. Oh and the breakfasts were great too. Go, you wont be dissapointed.;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;kiwitrains;Overall Excellent;The room was very good clean well maintained, staff were marvellous could not do enough for you, food was mediocre especially the breakfast, the mail parts of the hotel again were kept in very good condition. The rooftop pool and bar were great.;4;0;0;1;0;1;0
Legian Kuta Bali;Merccure Bali Legian;Gwenda C;Scoopon deal;Had a 10 night stay on a Scoopon Deal. Very good deal for 10 nights which included 1 massage each every day, 4 lunches or dinners, airport transfers and breakfast. We weren't that happy with our first deluxe room, had a view of a b lding. We asked to be moved and the next day we had a pool view room with a spacious sitting area. There are different deluxe rooms, but we had the more spacious ones which was great. There are 2 pools. The ground floor pool has more shade but unfortunately only about 12 sun lounges so you have to be q ck. The breakfasts had everything you would want and was always busy. The 4 dinners we had in the restaurant were beautiful. The Guest Services Manager Melisa was a delight and did everything she could to please us or help us in any way. She;4;0;0;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;Sue C;Family friendly hotel in Legian;Fantastic hotel in Legian. Staff friendly and happy to be of assistance. Rooms large and clean. We had a plunge pool which was lovely to sit and read. Two pools at hotel. Had massages at hotel and they were fantastic.;5;0;0;1;1;1;0
Legian Kuta Bali;Merccure Bali Legian;Nicholas K;55th Bali visit!;Surprised...great position, great service, great staff. I have stayed in 20 different hotels/resorts and find this perfect for me. Many restaurants, bars, coffee, massages, shopping within 5 minute walk. Love the 4th level pool area..could spend the whole day there! No negatives with reception, breakfast, getting a metred taxi..bonus!!!;4;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Tayla P;Amazing service!;This place is amazing, would definitely recommend to other travellers! The staff always go above and beyond and are so helpful. Awesome facilities, when we come back to Bali we would be more than happy to stay here again! The reception staff also help to get you better prices on activities;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;helen388;Love Bali;Well what can I say .... I love this hotel from the time you arrive your made so welcome. Our room was comfortable and very clean, the service in the restaurant and throughout the hotel is wonderful. For me it's the amazing staff that make our stay so very enjoyable.;5;0;0;1;1;1;0
Legian Kuta Bali;Merccure Bali Legian;aris_ramadhan;A remarkable runaway holiday;Everything was going well and I really enjoyed stayed at Mercure Legian. However, the only thing that missed to my experience was the VIP treatment for Le Club Gold member. Yes, I had got room upgrade and late checkout. But usually during my stay in other Accor property, there will be something more and personalised services for LeClub Gold member. I just didn't find that 'special experience' as LeClub Gold member during my stay at Mercure Legian as I get in other Accor hotels. Anyway, the staffs were very welcome and they deserve credits for their performances in helping and treating guests. What need to be improved are the a la carte menu in restaurant should be changing periodically and installing the AC in restaurant and lobby area will make it more comfortable due to hot;4;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;168RoyH;Excellent Service - In the heart of Bali famous Legian District;That was our 2nd stay at this hotel. The 1st one about a year ago when this hotel just opened. Having same great experience for this stay. Location: The hotel is located in the heart of Bali's famous Legian district. surrounded by cafes, bars, restaurants and convenience stores. easy to go everywhere. Legian beach is just 5-10 mins walk. Facilities: This hotel has 2 nice swimming pools. One is at the ground level another one at level 4. Both are nice. The restaurant serving mix of Indonesian and western food. taste is so so (to be frank) nothing special, but price is reasonable for 4 star hotel. But they have excellent service, with charming and professional staff. Service: Excellent!! Ibu Lia (Customer Relation Manager?) gret as when we checked in. She's lovely and very;4;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;ShariJae;Good rooms and location, service average;We have stayed at the Mercure Legian twice now. The first time we stayed in the Deluxe Room with Private Pool on the ground floor. Room was lovely, spacious and very clean. The private pool is small but really nice and private. We recently stayed in a Standard room on level 4, it was also nice especially for the price that we paid. The hotel has two pools which are both beautiful and pretty q et. Our only issues we've encountered with this hotel is the service. We have a bad experience for both of our stays. The check-in is extremely slow and staff are unfriendly and not interested. There was a sign in the lobby for daiq ri happy hour between 5-7pm which we were excited to try. Unfortunately when we went to the restaurant by the pool at 6pm, we waited 20 minutes to be served,;4;0;0;0;1;0;0
Legian Kuta Bali;Merccure Bali Legian;John S;We'll be back;Great Location, clean rooms, wonderful staff, awesome breakfast, pools areas were great. This is our 3rd trip to Bali and this would be the best place that we have stayed. Great central location easy to get anywhere and easy to get back to. Money changer across the road.;5;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;kat1301aus;Clean and affordable;I stayed in a standard room (no villa or balcony). The room was very clean and well serviced. Service of the staff was excellent - very friendly but not over bearing. Central to Legian and walking distance to Kuta. Breakfast was included.;4;0;0;1;0;1;0
Legian Kuta Bali;Merccure Bali Legian;Aussie Traveller;Enjoyable 7 nights;"Hotel is in a good location.Our room (265) was located close to road and above main entrance and was noisy at times during the night. Other family members were accommodated in rooms away from the street and no noise issues. Seems a popular place for families and plenty of children noise in the hallways etc. Rooms were well eq pped and comfortable and staff very friendly and helpful. Close proximity to market shops, laundry, money changer and plenty of restaurants. $2 Taxi fare approximately to Kuta or Seminyak and enjoyed our nightly drinks at ""Josephs"" on the beach which was about a 5/6 minute walk along narrow footpaths and busy traffic street. Would stay here again without hesitation. Free wifi with strong signal.";4;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Springoes;Good location;Generally very happy, grip 1- we had visitors that arrived on motorbike, who where not checked for security in or out of the underground garage. I feel this lacks somewhat to a b lding like this. Grip 2-- the daily clean was adiquate but not as good as it could have been, sink and tap ware not so great. Grip 3- Snacks in the Poole bar were awful, tasteless waste of money. Chosen not to eat in main restaurant after the Poole bar feed. Staff were great, I guess they are under The pump. They should increase Staffing by 10%..;4;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Bruno035;The Owner needs to put his hand in his pocket!;I have reviewed this property many times and I'm always happy with the care and attention I get from the staff and management, however it is apparent that the owner is has put the hand brake on some simple solutions to make this hotel really great, not just good. The issues with lack of fans in the restaurant and reception has not been addressed nor the surface around the Pool, which is downright dangerous when wet. The handicap access to the restaurant is also still not completed. Better isolation of the smokers is req red. And just on a personal note, why isn't there Australia Plus on the TV choice ? Especially when the Australians are usually the predominate guests. In saying this I'm still happy to recommend this Hotel as I have said the staff always try their best , it;4;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Maloneys_on_holidays;Mercure, Legian;Well located near shopping, bars & restaurants, staff very friendly, hotel very reasonably priced, room reasonably sized, great shower. Breakfast just okay, j ces only drinks. Top pool very good, 1st floor pool lots of families. Would return for price.;4;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Kylie F;110% satisfaction guaranteed;It was my first time staying in Bali and I couldn't have asked for a better hotel to stay in. The staff were impeccable, so friendly and always smiling. As you check in you are also welcomed with fresh j ce and hot towels. We stayed in a standard king room. It was clean, modern and a good size. The location is perfect as you are close to restaurants, bars and only a short walk from Kuta, yet still away from the craziness. The walk to the beach is only 10 minutes as well. My last villa in Bali did not live up to my expectation. It was pricey, dirty and creepy... so my partner and I packed our bags and came straight back to the Mercure Legian for our last 2 nights of the holiday, and we couldn't have been happier! We wish we didn't leave. I definitely recommend this hotel to;5;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;RD1;Great hotel;We stayed in a deluxe plunge pool room with our 2 young kids. Positives: Nice, clean, tidy hotel with great staff and amenities Central location. You can easily walk to nearby restaurants if you don't mind walking in the heat. The bed was super comfy. The air conditioner worked well. The room was pretty q et. Once you closed the door you could only hear muffled outside noise. The room is super dark with nice thick block out curtains. The deluxe plunge pool room was a generous size with a small seating area next the bed. The pool (downstairs one) gets some sun during the day so it's nice and warm,but still refreshing, and its a good depth (1.2m) so you can float in it all day without wanting to get out. Great breakfast selection. Overall, I felt really comfortable in;4;0;0;1;0;1;1
Legian Kuta Bali;Merccure Bali Legian;Karan .;Great Hospitality!!;Without doubt one of the favorite hotels I stayed during my time in Bali. Upon arrival we were warmly welcomed by the staff. All The staff members of all departments were extremely friendly, the restaurant was very flexible (appreciate this!) and the restaurant staff specially Agus Pradanyana deserves a special thanks. We stayed here for four nights which was a delightful experience.;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;susancrawford305;Fabulous Hotel;We have been to Bali many times, the last 3 times my family and I have stayed here because we enjoy it so much. Great value for small price. It’s clean, q et, a short walk to the beach, shopping and restaurants and so much more. Breakfast is excellent. The variety of rooms offered s te family, couples and friends and are spacious. You are always greeted with a smile from all the staff and they are very friendly. I was most impressed with management on how they go out of their way to assist you and make your stay more enjoyable. A special thank you to Lia and Melisa, once again they were marvelous, when I needed help last year because of the Volcano, and assisting me again with a small problem during this recent stay. Well done Mercure, I have booked again in July and look;5;1;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Douglas K;Nice Bali Hotel;This hotel is very good value for money and is well maintained.. The hotel staff go out of their way to make your stay enjoyable Pools are very good and inclusive breakfast is excellent Close to markets etc The beach is about a 10 min casual walk from hotel but we prefer to swim in the pools at the hotel;4;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Lulufluff;Central location;The hotel looks very new with an open reception. The place is clean and staff polite. When checking in if you don't have a credit card to have a security deposit put on it, they do ask for 2 million rupiah as a deposit and you get it back at the end when you checkout. There is a money changer across the road. There are 2 pools, one on ground floor not far from reception and one on 4th floor. Ground floor one is bigger. On 4th floor there is a fitness centre and they do offer free Yoga. The rooms are nice. The bathroom has a glass window so you can see in to the bedroom, but there is a blind you can pull down. The fridge has a mini bar but it comes empty so you can ring if you want something from the mini bar. This room didn't have a balcony so there is no where to hang;5;0;0;1;0;1;0
Legian Kuta Bali;Merccure Bali Legian;Melissa A;Great Hotel,staff are so helpful nothing is any trouble.;Great place, central to shops n beach. New hotel with awesome facilities. Highly recommend staying here, it a busy area so if you like being In the middle of everything this is the spot. Breakfast is a buffet with far too many selections. The pools are both stunning, lovely and clean. Staff are fantastic very helpful and I loved the airport pickup at 3 am in the morning.;4;0;0;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;JayfromAustralia;An oasis in the heart of Bali;If you are looking for good honest value for money accommodation in the heart of Bali then this is the one to look out for! Plenty of local sightseeing including bars, restaurant and beach nearby! Spend a few extra rupiah and opt for your own private lunge pool!;4;1;0;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Bebeholidays;Great location, great service!;Spent a few nights at Mercure Legian upon arrival on one of many trips to Bali. Hotel is close to many key 'bali' things, such as market shopping (Melasti St, Garlic Lane) beach and beach bars ( about 5 minutes walk) and great restaurants (Seaside, Mozzarella) and beach clubs such as Cocoon!!!Hotel itself has rooftop bar and pool and a good buffet breakfast. Staff were very helpful!!;4;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Mehdi;Very nice hotel and very good location;A very good a Hotel with smiling and welcoming Staff. I was impressed of the room quality vs the level of this hotel This hotel is close to the beach only 5 mn walking Very nice swimming pool and gym aera Feel welcome spirit.;4;0;1;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;Roxy A;New Mecure;Very clean with amazing staff. The staff were very friendly and did whatever they could to make our stay enjoyable. Breakfast was great every morning with a good variety on offer to cater for every taste. The rooms were a great size and the only thing i could have faulted was there was no clothes hanger to hang wet clothes from being in the pool, other guests were hanging things on the balcony railings but the items were being blown off by the wind. Location was great and Taxis were going past ALL the time in all directions. Would definatley stay here again.;4;0;0;1;0;1;0
Legian Kuta Bali;Merccure Bali Legian;joshhendries;Mercure Legian Superb;first time i arrived, the service is very nice, the room just prepared, and the manager call me just to greeting, the room and bathroom very clean, the pool view and gym very comfy, will back here soon.;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;chefmango;Amazing Bali;First time in Bali and in Mercure Bali Legian. Me and my partner had a blast! Highly recommended! staff were all happy, friendly and hospitable. Loved our room with the plunge pool. Service was excellent and will definitely come back . See you again next time and thank you for making our vacation memorable :);5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;tony62665;Modern and fun;I was very happy with my stay here and would stay again. The hotel is new and everything works well. Compact size with good pool areas and restaurant, friendly efficient staff, good value for money. Some nice little touches such as some free yoga classes. Gym good, spa reasonably priced. Handy location close to Jalan Legian and Seminyak, but the road outside the hotel is crazy to cross.. take care;4;1;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;sidq3169;11 Nighta at Mercure Baki Legian;Service here was fantastic coffee was consistently made perfect every time irrelevant of who was making it Staff were always friendly and wiling to help Special Thanks to Ella & Budiada who were always on hand to assist in any way they or they were just happy to have a chat Only negative we had was the meals area was q te hot due to no ceiling fans but hey this is Bali so if you don't like the heat don't bother coming. Staff would always bring us a portable fan upon request in the meals area.;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;AmberRMc;Amazing!;Hotel was absolutely amazing! Staff were so friendly and made sure everything was perfect. Hotel itself was beautiful. So close to everything. My partner and I literally walked everywhere because it was so close to beaches, markets, shopping centres. Will 100% be back here next year! 5 star experience!;5;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;SLR44;Good location;We have just spent 5 nights here at Mercure on the web jet deal good value 10 min to beach. The staff here are all very friendly and helpful breakfast is good. We had one dinner here was nice although there is better placed to eat locally. You need to book in a day or two early for your massages tip email ahead to make a massage booking on the day you arrive make sure you leave plenty of time invade of airport delays;4;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Andrew G;Location Location;Perfect location for all your needs...shopping, restaurants and beach all within walking distance. Check in and out very q ck and efficient, Breakfast buffet included in package and is what you would expect in this style of hotel. Rooms clean and bed very comfortable. Both swimming pools ok. Would recommend for a short stay only.;4;0;1;0;0;1;1
Legian Kuta Bali;Merccure Bali Legian;irusx;Good trained staff and service;The experience about Mercure Bali Legian is excellent , I would strongly recommend guests try to consider here when stay in Kuta area. The good experience always start from their good staffs , Melisa who helps me check in and introduce the hotel's environment , the members benefits and advise the hotel regulations in a good way. Even the last day before check out she would like to know the guest experience instead of other hotel try to know the review and response only online. She do her job well. I booked a superior room , bus as an Accor plus gold member I was upgraded to the room with balcony, the room is q et big and clean for me, I don't need to wear the slippers in room but the foot means the floors are clean well enough, the bath room is tidy and provides the TOTO;5;0;0;1;0;0;
Legian Kuta Bali;Merccure Bali Legian;Robert G;Great stay;Right from the start nothing was too much trouble for the staff at this hotel. We stayed 9 nights in a deluxe room with private plunge pool. Cleaned everyday, the room was spacious with a comfortable bed and huge shower. The meals in the hotels restaurant were delicious with a wide variety of food served by friendly staff in particular Budiada and Rai who were both a delight and a credit to the hotel. The pools were great with ample shaded areas to swim or lay about. Centrally located to shops, markets and restaurants with a short walk to the beach and directly opposite a Bmc money changer, we wanted for nothing else. We would definately recommend this place to anyone. Thanks for a great stay, Rob and Robyn.;5;0;1;0;1;0;1
Legian Kuta Bali;Merccure Bali Legian;JessieChew;Strategic location with positive plus mixed with disappointing downside;The front desk staff was consistently helpful and efficient in meeting my bedding request for 2 rooms. But housekeeping needs to be reviewed - rooms were not properly cleaned -just cursory. Dust sitting on glass shelf over minibar cabinet and hairs on bathroom floor. when we first walked into our rooms. Dust still there when we checked out. Requests for extra towels & pillows were brought by personnel who smelled HEAVILY of cigarette smoke. Hence you can tell how the extra towels & pillows smelled like! replenishment of shower gel & shampoo non existant -had to make requests and housekeeping doesn't seem to pick up phone. Front desk to the rescue again. White towels are now light grey and doesn't seem to be freshly laundered.;4;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;AussieJen;Great Stay at the Mercure Legian Bali;"We had four nights here on our very first trip to Bali. As Accor Plus members we really appreciated the airport pick-up when we first arrived. Our check-in was faultless and had us up in our room in no time after our early morning arrival from Darwin. Our room was great with air con we could set the temp for. We had a room with an enormous balcony overlooking the bottom pool with the shade of what I call the enormous ""monkey tree"" (a very old tree which the hotel was b lt around - looked to me like there should have been monkeys in there!) Breakfast was plentiful and delicious. I loved the egg station for my freshly cooked omelettes each day while my husband enjoyed his eggs ""sunny side up"". The hotel pools are both beautiful. Downstairs has shady lounges and there was never";4;0;0;0;1;0;0
Legian Kuta Bali;Merccure Bali Legian;Diana L;Relaxing Holiday;This is our 3rd time at the Mercure Legian. The hotel has a relaxed feel, with two lovely clean pools, one on the top floor overlooking the Legian St Junction. The location is great being within easy walking distance to the beach and the shopping is outside the front door along busy Legian Street. Market stalls are also just a short distance away. The rooms are comfortable with a soft king size bed. The breakfast is adequate with a good choice of fresh foods to choose from. Check in and checkout is handled with ease and professionally. Staff are friendly and helpful.;4;0;1;0;0;1;1
Legian Kuta Bali;Merccure Bali Legian;Roddever;Great location and great hotel;The hotel is new having only been ooen aprox 18 months. The facilities include bars x 2, restaurant, poolside catering, 2 pools and great rooms. The beds are very comfortable and all rooms have good air conditioning . Security at access gates provide piece of mind for your stay.they are friendly but professional ..afterall they are there to do a job. The hotel staff from reception to food and beverage team and housekeeping are some of the happiest friendly staff in any hotel ive stayed in in yhe Asia pacific region. The rooms are clean. The food is quality and well priced and the drinks....of course are great. The only downside is the restaurant needs more fixed fans. Bali is known for heat and humidity but the restaurant area the air is just still. Staff move fans to;5;0;0;1;1;0;1
Legian Kuta Bali;Merccure Bali Legian;Raditz Wardhana;Love The Room;Perfect hotel for business and leisure. I booked online but when checked in, I ask to upgrade. They gave me the best room with balcony and outdoor living room. My little concerns was no welcome drink (I didn't get it while other guest have) and registration during check in took almost an hour.;5;0;0;0;1;0;0
Legian Kuta Bali;Merccure Bali Legian;I’s Eyes;The silence of only once a year;I stayed 2 nights for spend nyepi (the day of silence) in March 2016. Requested a Legian street view room for see Ogoh-Ogoh parade when I made a reservation. Fani, Gest relation officer of this hotel arranged perfectly what I wanted! The room has a balcony and it's ideal for see Legian and Melasti street's intersection where all Ogoh-Ogoh puppets of Legian are gathering. I saw many people are waiting on the street from 7pm but actually Ogoh-Ogoh came at this intersection around 10pm. Thanks to Fani, I was taking a shower, drinking some cocktails while other people were waiting in the terrible heat and humidity. The Second night was completely different from the first night.I saw the total silence and darkness wrapped in this city. So many shooting stars were falling. This;5;0;0;0;1;0;0
Legian Kuta Bali;Merccure Bali Legian;catherine w;Fourth trip now and still improving;We have just come back from our Easter break at Mecure Legian and have loved everything about it . Improvements have been umbrellas on the fourth floor poolside , balcony furniture has started coming and I believe there is more arriving and also the addition of fans in the restaurant which of course never seem enough in such a hot country and with the restaurant being open to the pool always seems hot unless you go down to breakfast extremely early and request a fan by your table at lunch or dinner ! Congratulations to the staff for organising these things as I know they have to ask the owners repeatedly for guest requests to make things even better for us when we are there on holidays . Well done Mecure Legian ! Also for having the most wonderful staff . I must mention some so;5;0;0;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;John D;Great time!;Really enjoyed our 5 night stay at the Mercure Legion in March. The staff were fantastic. Very friendly and helpful. We had a very nice room with an outside balcony. Everything in the hotel was very clean. The hotel has 2 great pool areas. We will definitely be returning here on future visits to Bali and will recommend it to our friends.;4;0;0;1;0;1;0
Legian Kuta Bali;Merccure Bali Legian;Nece;Friendly poeple;Very friendly staff. Room windows was not clean, we got an upgrade instead and then called if everything was alright. That's service. Staff keeps greeting when you are out or come back. The swimming pools, especially the upper one are my paradise.;4;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Cecillllllle;New hotel;Stayed here 5 nights in Feb 2016. Location -- It is in Legian area - walk distance to Bar area, plenty of restos along the way. Beach is not right outside of the hotel, around 10 mins walk Rooms -- Spacious room, nice and clean. New hotel so everything is in good condition Bit stingy on the towels as only has 2 big ones in the room - would need to call house keeping to exchange. Facilities -- Both pools are nice. Enjoyed the upper level pool alot. Bar is good. Once again very stingy on the towels, we need to carry towel card in order to check in on how many towels to get etc. Food -- Room service food is nice and fast. Had a friday BBQ dinner by the roof, pretty yum. Comment -- Since the hotel was pretty new so there are a lot of trainee staffs. Which means;4;0;1;0;1;0;0
