travelCode,userCode_x_x,name_x,place,days,hotel_perday,hotel_total,date_x,from,to,flightType,flight_cost,time,distance,agency,company,gender,age,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,price,totalDistance,fuelPolicy,bookingStatus,Total_car_price
2356,21,Hotel K,Salvador (BH),1,263.41,263.41,12/10/2020,Brasilia (DF),Salvador (BH),economic,958.15,1.76,676.56,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2358,21,Hotel A,Florianopolis (SC),4,313.02,1252.08,12/24/2020,Aracaju (SE),Florianopolis (SC),premium,1132.81,2.1,808.85,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2362,21,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,01/21/2021,Brasilia (DF),Rio de Janeiro (RJ),economic,344.26,0.48,183.37,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2363,21,Hotel BW,Campo Grande (MS),4,60.39,241.56,01/28/2021,Aracaju (SE),Campo Grande (MS),premium,1116.83,1.69,650.1,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2364,21,Hotel Z,Aracaju (SE),4,208.04,832.16,02/04/2021,Recife (PE),Aracaju (SE),firstClass,1166.1,1.44,555.74,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2365,21,Hotel Z,Aracaju (SE),2,208.04,416.08,02/11/2021,Brasilia (DF),Aracaju (SE),premium,987.07,1.11,425.98,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2367,21,Hotel AF,Sao Paulo (SP),1,139.1,139.1,02/25/2021,Brasilia (DF),Sao Paulo (SP),economic,538.95,0.67,257.81,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2378,21,Hotel BP,Brasilia (DF),4,247.62,990.48,05/13/2021,Aracaju (SE),Brasilia (DF),premium,706.36,1.11,425.98,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2383,21,Hotel BW,Campo Grande (MS),3,60.39,181.17,06/17/2021,Recife (PE),Campo Grande (MS),economic,563.71,1.39,535.4,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2387,21,Hotel K,Salvador (BH),3,263.41,790.23,07/15/2021,Aracaju (SE),Salvador (BH),firstClass,1684.05,2.16,830.86,CloudFy,4You,female,56,Jenniferborough,North Janice,Hatchback,Enterprise,5.0,752.83,191.0,Prepaid,Confirmed,652.8
2389,21,Hotel AU,Recife (PE),1,312.83,312.83,07/29/2021,Aracaju (SE),Recife (PE),firstClass,1119.47,1.44,555.74,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2393,21,Hotel BW,Campo Grande (MS),3,60.39,181.17,08/26/2021,Aracaju (SE),Campo Grande (MS),premium,1116.83,1.69,650.1,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2396,21,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,09/16/2021,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,2.3,885.57,Rainbow,4You,female,56,New Michael,New Courtneyport,Luxury,Enterprise,5.0,521.02,123.0,Prepaid,Cancelled,948.4
2400,21,Hotel K,Salvador (BH),4,263.41,1053.64,10/14/2021,Aracaju (SE),Salvador (BH),firstClass,1714.75,2.16,830.86,FlyingDrops,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2401,21,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,10/21/2021,Brasilia (DF),Rio de Janeiro (RJ),firstClass,586.04,0.48,183.37,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2405,21,Hotel BW,Campo Grande (MS),2,60.39,120.78,11/18/2021,Brasilia (DF),Campo Grande (MS),firstClass,1069.61,0.72,277.7,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2406,21,Hotel BP,Brasilia (DF),2,247.62,495.24,11/25/2021,Aracaju (SE),Brasilia (DF),firstClass,957.68,1.11,425.98,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2408,21,Hotel A,Florianopolis (SC),3,313.02,939.06,12/09/2021,Aracaju (SE),Florianopolis (SC),premium,1132.81,2.1,808.85,Rainbow,4You,female,56,Andreaview,New Marystad,Sedan,Avis,2.0,371.47,356.0,Full-to-Full,Pending,524.8
2414,21,Hotel Z,Aracaju (SE),1,208.04,208.04,01/20/2022,Brasilia (DF),Aracaju (SE),premium,987.07,1.11,425.98,CloudFy,4You,female,56,Markstad,East Ashleybury,Hatchback,Enterprise,5.0,938.8,193.0,Partial,Cancelled,654.4
2417,21,Hotel BW,Campo Grande (MS),2,60.39,120.78,02/10/2022,Aracaju (SE),Campo Grande (MS),firstClass,1376.09,1.69,650.1,FlyingDrops,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2422,21,Hotel BD,Natal (RN),3,242.88,728.64,03/17/2022,Brasilia (DF),Natal (RN),premium,1067.3,1.43,550.69,CloudFy,4You,female,56,Carolshire,Davisberg,Hatchback,Budget,4.0,132.39,299.0,Partial,Confirmed,639.2
2423,21,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,03/24/2022,Aracaju (SE),Rio de Janeiro (RJ),premium,1007.72,1.55,597.61,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2429,21,Hotel AU,Recife (PE),3,312.83,938.49,05/05/2022,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2442,21,Hotel K,Salvador (BH),3,263.41,790.23,08/04/2022,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2445,21,Hotel BP,Brasilia (DF),1,247.62,247.62,08/25/2022,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2448,21,Hotel AU,Recife (PE),4,312.83,1251.32,09/15/2022,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2450,21,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,09/29/2022,Aracaju (SE),Rio de Janeiro (RJ),economic,712.64,1.55,597.61,Rainbow,4You,female,56,Patrickton,Nicholasside,Luxury,Avis,4.0,132.98,139.0,Prepaid,Cancelled,791.2
2453,21,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/20/2022,Aracaju (SE),Sao Paulo (SP),firstClass,730.43,1.02,392.76,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2454,21,Hotel BW,Campo Grande (MS),1,60.39,60.39,10/27/2022,Aracaju (SE),Campo Grande (MS),firstClass,1389.37,1.69,650.1,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2461,21,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,12/15/2022,Recife (PE),Rio de Janeiro (RJ),economic,910.7,2.3,885.57,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2463,21,Hotel AF,Sao Paulo (SP),4,139.1,556.4,12/29/2022,Brasilia (DF),Sao Paulo (SP),premium,750.0,0.67,257.81,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2465,21,Hotel Z,Aracaju (SE),1,208.04,208.04,01/12/2023,Recife (PE),Aracaju (SE),premium,932.22,1.44,555.74,Rainbow,4You,female,56,Jacquelineshire,West Kaylaton,Hatchback,Enterprise,5.0,278.28,203.0,Partial,Pending,662.4
2465,21,Hotel Z,Aracaju (SE),1,208.04,208.04,01/12/2023,Recife (PE),Aracaju (SE),premium,932.22,1.44,555.74,Rainbow,4You,female,56,Heathermouth,Adamfort,Luxury,Sixt,5.0,183.5,171.0,Prepaid,Cancelled,986.8
2467,21,Hotel AU,Recife (PE),1,312.83,312.83,01/26/2023,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,4You,female,56,West Thomas,East Kimchester,Sedan,Enterprise,1.0,190.12,65.0,Full-to-Full,Pending,172.0
2469,21,Hotel BD,Natal (RN),2,242.88,485.76,02/09/2023,Aracaju (SE),Natal (RN),firstClass,598.61,0.46,176.33,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2476,21,Hotel K,Salvador (BH),2,263.41,526.82,03/30/2023,Brasilia (DF),Salvador (BH),premium,1268.97,1.76,676.56,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2479,21,Hotel BW,Campo Grande (MS),2,60.39,120.78,04/20/2023,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2482,21,Hotel BW,Campo Grande (MS),1,60.39,60.39,05/11/2023,Recife (PE),Campo Grande (MS),economic,563.71,1.39,535.4,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2483,21,Hotel BW,Campo Grande (MS),1,60.39,60.39,05/18/2023,Aracaju (SE),Campo Grande (MS),firstClass,1376.09,1.69,650.1,FlyingDrops,4You,female,56,Ryanchester,Matthewbury,Hatchback,Enterprise,2.0,150.42,104.0,Prepaid,Pending,283.2
2484,21,Hotel BD,Natal (RN),4,242.88,971.52,05/25/2023,Brasilia (DF),Natal (RN),economic,726.19,1.43,550.69,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2486,21,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,06/08/2023,Brasilia (DF),Rio de Janeiro (RJ),firstClass,586.04,0.48,183.37,Rainbow,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2488,21,Hotel BW,Campo Grande (MS),1,60.39,60.39,06/22/2023,Brasilia (DF),Campo Grande (MS),economic,583.6,0.72,277.7,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2489,21,Hotel A,Florianopolis (SC),4,313.02,1252.08,06/29/2023,Brasilia (DF),Florianopolis (SC),firstClass,1487.52,1.66,637.56,CloudFy,4You,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2495,22,Hotel BW,Campo Grande (MS),4,60.39,241.56,10/17/2019,Recife (PE),Campo Grande (MS),firstClass,1110.76,1.39,535.4,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2499,22,Hotel AF,Sao Paulo (SP),1,139.1,139.1,11/14/2019,Brasilia (DF),Sao Paulo (SP),premium,698.1,0.67,257.81,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2503,22,Hotel A,Florianopolis (SC),1,313.02,313.02,12/12/2019,Brasilia (DF),Florianopolis (SC),premium,1222.24,1.66,637.56,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2504,22,Hotel K,Salvador (BH),2,263.41,526.82,12/19/2019,Recife (PE),Salvador (BH),premium,1249.83,2.05,788.55,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2507,22,Hotel AF,Sao Paulo (SP),2,139.1,278.2,01/09/2020,Aracaju (SE),Sao Paulo (SP),firstClass,752.27,1.02,392.76,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2513,22,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,02/20/2020,Brasilia (DF),Rio de Janeiro (RJ),firstClass,649.64,0.48,183.37,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2514,22,Hotel A,Florianopolis (SC),4,313.02,1252.08,02/27/2020,Recife (PE),Florianopolis (SC),firstClass,1354.53,1.76,676.53,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2522,22,Hotel BW,Campo Grande (MS),4,60.39,241.56,04/23/2020,Recife (PE),Campo Grande (MS),economic,563.71,1.39,535.4,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2523,22,Hotel K,Salvador (BH),3,263.41,790.23,04/30/2020,Brasilia (DF),Salvador (BH),firstClass,1724.49,1.76,676.56,FlyingDrops,4You,female,51,Calebmouth,New Tyler,SUV,Enterprise,5.0,626.75,112.0,Partial,Pending,789.6
2525,22,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,05/14/2020,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2526,22,Hotel A,Florianopolis (SC),2,313.02,626.04,05/21/2020,Aracaju (SE),Florianopolis (SC),premium,1132.81,2.1,808.85,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2527,22,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/28/2020,Brasilia (DF),Sao Paulo (SP),firstClass,904.0,0.67,257.81,FlyingDrops,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2530,22,Hotel AF,Sao Paulo (SP),3,139.1,417.3,06/18/2020,Brasilia (DF),Sao Paulo (SP),economic,533.8,0.67,257.81,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2534,22,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,07/16/2020,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1189.86,1.55,597.61,Rainbow,4You,female,51,Jonathanville,Lake Scotthaven,Sedan,Sixt,5.0,301.88,437.0,Prepaid,Pending,949.6
2535,22,Hotel BW,Campo Grande (MS),4,60.39,241.56,07/23/2020,Brasilia (DF),Campo Grande (MS),firstClass,1069.61,0.72,277.7,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2538,22,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/13/2020,Aracaju (SE),Florianopolis (SC),firstClass,1582.41,2.1,808.85,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2540,22,Hotel AF,Sao Paulo (SP),1,139.1,139.1,08/27/2020,Aracaju (SE),Sao Paulo (SP),economic,410.79,1.02,392.76,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2541,22,Hotel K,Salvador (BH),1,263.41,263.41,09/03/2020,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2545,22,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/01/2020,Aracaju (SE),Campo Grande (MS),economic,750.92,1.69,650.1,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2550,22,Hotel AF,Sao Paulo (SP),2,139.1,278.2,11/05/2020,Recife (PE),Sao Paulo (SP),firstClass,980.83,1.26,486.52,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2556,22,Hotel AF,Sao Paulo (SP),4,139.1,556.4,12/17/2020,Recife (PE),Sao Paulo (SP),economic,545.95,1.26,486.52,Rainbow,4You,female,51,Johnsonfort,Duranfurt,SUV,Sixt,2.0,220.18,481.0,Prepaid,Confirmed,664.8
2558,22,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,12/31/2020,Aracaju (SE),Rio de Janeiro (RJ),premium,1007.72,1.55,597.61,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2559,22,Hotel Z,Aracaju (SE),1,208.04,208.04,01/07/2021,Recife (PE),Aracaju (SE),economic,684.88,1.44,555.74,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2564,22,Hotel A,Florianopolis (SC),2,313.02,626.04,02/11/2021,Recife (PE),Florianopolis (SC),premium,1070.54,1.76,676.53,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2566,22,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,02/25/2021,Recife (PE),Rio de Janeiro (RJ),economic,910.7,2.3,885.57,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2569,22,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,03/18/2021,Brasilia (DF),Rio de Janeiro (RJ),economic,371.04,0.48,183.37,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2572,22,Hotel AF,Sao Paulo (SP),1,139.1,139.1,04/08/2021,Brasilia (DF),Sao Paulo (SP),economic,533.8,0.67,257.81,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2577,22,Hotel Z,Aracaju (SE),1,208.04,208.04,05/13/2021,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2578,22,Hotel BP,Brasilia (DF),3,247.62,742.86,05/20/2021,Recife (PE),Brasilia (DF),firstClass,721.93,0.63,242.21,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2581,22,Hotel BP,Brasilia (DF),3,247.62,742.86,06/10/2021,Recife (PE),Brasilia (DF),firstClass,721.93,0.63,242.21,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2582,22,Hotel AU,Recife (PE),4,312.83,1251.32,06/17/2021,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,4You,female,51,Lake Jeromehaven,Michaelhaven,Sedan,Avis,4.0,167.85,209.0,Prepaid,Cancelled,647.2
2584,22,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,07/01/2021,Recife (PE),Rio de Janeiro (RJ),premium,1270.03,2.3,885.57,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2588,22,Hotel BP,Brasilia (DF),4,247.62,990.48,07/29/2021,Recife (PE),Brasilia (DF),premium,573.61,0.63,242.21,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2589,22,Hotel AF,Sao Paulo (SP),1,139.1,139.1,08/05/2021,Aracaju (SE),Sao Paulo (SP),premium,588.14,1.02,392.76,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2591,22,Hotel AF,Sao Paulo (SP),3,139.1,417.3,08/19/2021,Brasilia (DF),Sao Paulo (SP),firstClass,904.0,0.67,257.81,FlyingDrops,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2592,22,Hotel K,Salvador (BH),1,263.41,263.41,08/26/2021,Brasilia (DF),Salvador (BH),economic,958.15,1.76,676.56,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2596,22,Hotel AF,Sao Paulo (SP),1,139.1,139.1,09/23/2021,Brasilia (DF),Sao Paulo (SP),economic,533.8,0.67,257.81,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2600,22,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,10/21/2021,Brasilia (DF),Rio de Janeiro (RJ),economic,344.26,0.48,183.37,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2602,22,Hotel A,Florianopolis (SC),4,313.02,1252.08,11/04/2021,Recife (PE),Florianopolis (SC),premium,1070.54,1.76,676.53,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2603,22,Hotel BP,Brasilia (DF),2,247.62,495.24,11/11/2021,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2605,22,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,11/25/2021,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,2.3,885.57,Rainbow,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2608,22,Hotel A,Florianopolis (SC),2,313.02,626.04,12/16/2021,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,2.1,808.85,FlyingDrops,4You,female,51,Port Amanda,Sarahmouth,Sedan,Budget,4.0,190.63,271.0,Full-to-Full,Pending,696.8
2610,22,Hotel BD,Natal (RN),3,242.88,728.64,12/30/2021,Brasilia (DF),Natal (RN),firstClass,1313.76,1.43,550.69,CloudFy,4You,female,51,West Joshuafort,Lake Andrewview,Luxury,Enterprise,2.0,71.13,93.0,Prepaid,Pending,414.4
2613,22,Hotel BD,Natal (RN),1,242.88,242.88,01/20/2022,Aracaju (SE),Natal (RN),firstClass,598.61,0.46,176.33,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2618,22,Hotel BP,Brasilia (DF),3,247.62,742.86,02/24/2022,Aracaju (SE),Brasilia (DF),premium,755.62,1.11,425.98,CloudFy,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2629,22,Hotel A,Florianopolis (SC),4,313.02,1252.08,05/12/2022,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2631,22,Hotel AU,Recife (PE),4,312.83,1251.32,05/26/2022,Aracaju (SE),Recife (PE),firstClass,1088.87,1.44,555.74,FlyingDrops,4You,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2632,23,Hotel AF,Sao Paulo (SP),2,139.1,278.2,09/26/2019,Aracaju (SE),Sao Paulo (SP),firstClass,752.27,1.02,392.76,Rainbow,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2634,23,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/10/2019,Aracaju (SE),Campo Grande (MS),economic,750.92,1.69,650.1,CloudFy,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2635,23,Hotel A,Florianopolis (SC),3,313.02,939.06,10/17/2019,Aracaju (SE),Florianopolis (SC),premium,1174.97,2.1,808.85,CloudFy,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2643,23,Hotel K,Salvador (BH),2,263.41,526.82,12/12/2019,Aracaju (SE),Salvador (BH),economic,964.83,2.16,830.86,CloudFy,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2645,23,Hotel BW,Campo Grande (MS),4,60.39,241.56,12/26/2019,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2650,23,Hotel A,Florianopolis (SC),3,313.02,939.06,01/30/2020,Brasilia (DF),Florianopolis (SC),firstClass,1569.65,1.66,637.56,FlyingDrops,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2652,23,Hotel A,Florianopolis (SC),1,313.02,313.02,02/13/2020,Brasilia (DF),Florianopolis (SC),economic,884.94,1.66,637.56,CloudFy,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2653,23,Hotel AU,Recife (PE),2,312.83,625.66,02/20/2020,Aracaju (SE),Recife (PE),firstClass,1088.87,1.44,555.74,FlyingDrops,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2654,23,Hotel Z,Aracaju (SE),3,208.04,624.12,02/27/2020,Brasilia (DF),Aracaju (SE),economic,654.88,1.11,425.98,CloudFy,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2658,23,Hotel Z,Aracaju (SE),3,208.04,624.12,03/26/2020,Recife (PE),Aracaju (SE),firstClass,1300.81,1.44,555.74,FlyingDrops,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2660,23,Hotel AU,Recife (PE),4,312.83,1251.32,04/09/2020,Aracaju (SE),Recife (PE),firstClass,1124.11,1.44,555.74,CloudFy,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2663,23,Hotel BW,Campo Grande (MS),1,60.39,60.39,04/30/2020,Recife (PE),Campo Grande (MS),firstClass,1069.12,1.39,535.4,Rainbow,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2668,23,Hotel Z,Aracaju (SE),4,208.04,832.16,06/04/2020,Brasilia (DF),Aracaju (SE),economic,721.2,1.11,425.98,Rainbow,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2671,23,Hotel BD,Natal (RN),3,242.88,728.64,06/25/2020,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2672,23,Hotel A,Florianopolis (SC),2,313.02,626.04,07/02/2020,Recife (PE),Florianopolis (SC),premium,1070.54,1.76,676.53,Rainbow,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2676,23,Hotel A,Florianopolis (SC),2,313.02,626.04,07/30/2020,Aracaju (SE),Florianopolis (SC),premium,1132.81,2.1,808.85,Rainbow,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2677,23,Hotel A,Florianopolis (SC),2,313.02,626.04,08/06/2020,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2680,23,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,08/27/2020,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,2.3,885.57,Rainbow,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2688,23,Hotel K,Salvador (BH),1,263.41,263.41,10/22/2020,Aracaju (SE),Salvador (BH),premium,1289.05,2.16,830.86,Rainbow,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2691,23,Hotel BW,Campo Grande (MS),2,60.39,120.78,11/12/2020,Recife (PE),Campo Grande (MS),firstClass,1038.95,1.39,535.4,FlyingDrops,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2694,23,Hotel AF,Sao Paulo (SP),1,139.1,139.1,12/03/2020,Recife (PE),Sao Paulo (SP),economic,513.06,1.26,486.52,CloudFy,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2700,23,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,01/14/2021,Recife (PE),Rio de Janeiro (RJ),economic,908.93,2.3,885.57,Rainbow,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
2704,23,Hotel BW,Campo Grande (MS),3,60.39,181.17,02/11/2021,Brasilia (DF),Campo Grande (MS),economic,583.6,0.72,277.7,CloudFy,4You,male,35,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
