call_log_id,pax_id,call_date,call_duration,issue_category,resolution_status
CALL02461,PAX02461,2024-05-02,9,Refund Request,Escalated
CALL02462,PAX02462,2023-05-21,4,Refund Request,Escalated
CALL02463,PAX02463,2024-01-08,37,Refund Request,Escalated
CALL02464,PAX02464,2023-07-12,42,Booking Issue,Resolved
CALL02465,PAX02465,2024-05-17,50,Booking Issue,Resolved
CALL02466,PAX02466,2024-01-27,32,General Inquiry,Resolved
CALL02467,PAX02467,2025-01-11,15,General Inquiry,Resolved
CALL02468,PAX02468,2023-10-18,46,Booking Issue,Resolved
CALL02469,PAX02469,2024-09-28,45,Booking Issue,Pending
CALL02470,PAX02470,2024-07-28,10,Refund Request,Pending
CALL02471,PAX02471,2024-09-10,54,General Inquiry,Pending
CALL02472,PAX02472,2024-09-09,48,Booking Issue,Resolved
CALL02473,PAX02473,2023-02-19,11,Refund Request,Escalated
CALL02474,PAX02474,2024-07-15,31,Refund Request,Escalated
CALL02475,PAX02475,2023-04-10,16,Refund Request,Pending
CALL02476,PAX02476,2024-02-09,26,Booking Issue,Resolved
CALL02477,PAX02477,2023-07-18,45,General Inquiry,Pending
CALL02478,PAX02478,2024-06-13,57,General Inquiry,Escalated
CALL02479,PAX02479,2024-07-04,60,General Inquiry,Escalated
CALL02480,PAX02480,2024-02-22,40,Booking Issue,Pending
CALL02481,PAX02481,2023-04-20,56,Refund Request,Resolved
CALL02482,PAX02482,2023-10-10,27,Booking Issue,Escalated
CALL02483,PAX02483,2024-08-02,41,General Inquiry,Resolved
CALL02484,PAX02484,2023-09-24,23,Booking Issue,Resolved
CALL02485,PAX02485,2024-10-24,14,General Inquiry,Escalated
CALL02486,PAX02486,2023-04-01,55,Refund Request,Pending
CALL02487,PAX02487,2023-09-01,14,Refund Request,Resolved
CALL02488,PAX02488,2023-02-05,52,Refund Request,Pending
CALL02489,PAX02489,2023-08-13,46,General Inquiry,Resolved
CALL02490,PAX02490,2024-07-29,4,Booking Issue,Resolved
CALL02491,PAX02491,2023-07-26,24,General Inquiry,Pending
CALL02492,PAX02492,2023-11-21,36,General Inquiry,Resolved
CALL02493,PAX02493,2024-01-01,43,Booking Issue,Pending
CALL02494,PAX02494,2024-10-27,42,Booking Issue,Escalated
CALL02495,PAX02495,2024-04-19,11,Refund Request,Pending
CALL02496,PAX02496,2024-11-05,23,Refund Request,Resolved
CALL02497,PAX02497,2024-06-05,36,General Inquiry,Resolved
CALL02498,PAX02498,2024-10-19,60,General Inquiry,Pending
CALL02499,PAX02499,2024-06-12,16,Booking Issue,Resolved
CALL02500,PAX02500,2023-10-06,1,General Inquiry,Escalated
CALL02501,PAX02501,2023-06-21,21,General Inquiry,Pending
CALL02502,PAX02502,2024-11-22,52,Refund Request,Escalated
CALL02503,PAX02503,2024-05-30,7,Refund Request,Escalated
CALL02504,PAX02504,2023-06-22,20,Booking Issue,Pending
CALL02505,PAX02505,2023-11-27,4,General Inquiry,Escalated
CALL02506,PAX02506,2024-07-03,60,General Inquiry,Pending
CALL02507,PAX02507,2023-03-25,23,General Inquiry,Escalated
CALL02508,PAX02508,2023-11-16,29,General Inquiry,Pending
CALL02509,PAX02509,2023-07-06,54,Booking Issue,Resolved
CALL02510,PAX02510,2023-02-15,11,General Inquiry,Pending
CALL02511,PAX02511,2023-04-28,31,Booking Issue,Resolved
CALL02512,PAX02512,2024-11-12,60,Refund Request,Pending
CALL02513,PAX02513,2024-05-20,8,General Inquiry,Escalated
CALL02514,PAX02514,2023-03-04,55,Booking Issue,Resolved
CALL02515,PAX02515,2023-11-09,54,General Inquiry,Resolved
CALL02516,PAX02516,2024-01-26,54,Booking Issue,Pending
CALL02517,PAX02517,2024-03-26,53,Booking Issue,Resolved
CALL02518,PAX02518,2023-09-27,27,Booking Issue,Pending
CALL02519,PAX02519,2024-05-02,1,General Inquiry,Resolved
CALL02520,PAX02520,2023-06-29,40,Refund Request,Resolved
CALL02521,PAX02521,2024-11-25,36,General Inquiry,Pending
CALL02522,PAX02522,2024-06-19,54,Refund Request,Escalated
CALL02523,PAX02523,2023-05-07,30,General Inquiry,Resolved
CALL02524,PAX02524,2025-01-18,2,Refund Request,Pending
CALL02525,PAX02525,2023-05-22,28,Refund Request,Escalated
CALL02526,PAX02526,2024-03-18,58,Refund Request,Pending
CALL02527,PAX02527,2024-08-30,13,Refund Request,Resolved
CALL02528,PAX02528,2023-04-27,13,Booking Issue,Pending
CALL02529,PAX02529,2024-06-15,39,General Inquiry,Resolved
CALL02530,PAX02530,2024-02-24,26,Refund Request,Resolved
CALL02531,PAX02531,2023-04-28,36,Refund Request,Resolved
CALL02532,PAX02532,2023-04-06,22,General Inquiry,Resolved
CALL02533,PAX02533,2023-04-03,45,Refund Request,Pending
CALL02534,PAX02534,2024-11-02,45,General Inquiry,Resolved
CALL02535,PAX02535,2024-11-12,56,General Inquiry,Escalated
CALL02536,PAX02536,2023-03-20,25,Refund Request,Pending
CALL02537,PAX02537,2024-12-06,36,Booking Issue,Pending
CALL02538,PAX02538,2023-04-30,20,General Inquiry,Resolved
CALL02539,PAX02539,2023-01-29,31,General Inquiry,Escalated
CALL02540,PAX02540,2024-06-15,17,Refund Request,Resolved
CALL02541,PAX02541,2024-12-09,7,General Inquiry,Escalated
CALL02542,PAX02542,2023-09-26,2,General Inquiry,Escalated
CALL02543,PAX02543,2023-11-21,36,Refund Request,Resolved
CALL02544,PAX02544,2023-12-11,20,Refund Request,Pending
CALL02545,PAX02545,2024-12-31,24,General Inquiry,Resolved
CALL02546,PAX02546,2024-06-27,31,Booking Issue,Resolved
CALL02547,PAX02547,2023-06-18,58,Booking Issue,Pending
CALL02548,PAX02548,2023-11-01,13,General Inquiry,Escalated
CALL02549,PAX02549,2024-06-29,15,Refund Request,Resolved
CALL02550,PAX02550,2024-11-12,55,Refund Request,Pending
CALL02551,PAX02551,2024-04-23,49,Booking Issue,Pending
CALL02552,PAX02552,2023-04-19,2,Booking Issue,Escalated
CALL02553,PAX02553,2023-02-21,6,General Inquiry,Pending
CALL02554,PAX02554,2024-06-22,24,Booking Issue,Resolved
CALL02555,PAX02555,2024-12-29,19,Booking Issue,Resolved
CALL02556,PAX02556,2024-08-01,42,Booking Issue,Resolved
CALL02557,PAX02557,2023-08-18,19,Booking Issue,Escalated
CALL02558,PAX02558,2023-11-24,53,General Inquiry,Escalated
CALL02559,PAX02559,2023-04-24,56,General Inquiry,Escalated
CALL02560,PAX02560,2024-09-30,47,General Inquiry,Pending
CALL02561,PAX02561,2025-01-18,7,General Inquiry,Pending
CALL02562,PAX02562,2024-02-16,37,General Inquiry,Escalated
CALL02563,PAX02563,2024-12-03,20,General Inquiry,Pending
CALL02564,PAX02564,2023-03-06,4,General Inquiry,Pending
CALL02565,PAX02565,2024-10-04,10,Booking Issue,Resolved
CALL02566,PAX02566,2023-08-14,51,Booking Issue,Resolved
CALL02567,PAX02567,2024-03-21,15,Refund Request,Resolved
CALL02568,PAX02568,2023-11-05,17,General Inquiry,Resolved
CALL02569,PAX02569,2024-06-07,4,General Inquiry,Resolved
CALL02570,PAX02570,2025-01-14,4,Refund Request,Pending
CALL02571,PAX02571,2024-08-24,18,Booking Issue,Resolved
CALL02572,PAX02572,2024-12-19,55,Refund Request,Pending
CALL02573,PAX02573,2024-04-12,31,General Inquiry,Resolved
CALL02574,PAX02574,2024-05-27,11,General Inquiry,Escalated
CALL02575,PAX02575,2023-04-28,6,Refund Request,Escalated
CALL02576,PAX02576,2025-01-06,13,Booking Issue,Pending
CALL02577,PAX02577,2024-01-14,13,Refund Request,Pending
CALL02578,PAX02578,2024-12-08,14,Booking Issue,Escalated
CALL02579,PAX02579,2024-06-18,47,Booking Issue,Resolved
CALL02580,PAX02580,2023-11-05,25,Refund Request,Resolved
CALL02581,PAX02581,2024-06-15,18,General Inquiry,Pending
CALL02582,PAX02582,2024-08-18,59,General Inquiry,Pending
CALL02583,PAX02583,2024-10-19,43,Refund Request,Resolved
CALL02584,PAX02584,2023-10-29,49,Refund Request,Escalated
CALL02585,PAX02585,2023-12-13,11,Booking Issue,Escalated
CALL02586,PAX02586,2024-04-08,33,Booking Issue,Resolved
CALL02587,PAX02587,2023-11-10,31,General Inquiry,Pending
CALL02588,PAX02588,2024-09-15,40,Refund Request,Resolved
CALL02589,PAX02589,2023-02-23,20,Refund Request,Resolved
CALL02590,PAX02590,2023-11-05,21,Refund Request,Escalated
CALL02591,PAX02591,2025-01-18,49,General Inquiry,Resolved
CALL02592,PAX02592,2024-12-22,20,Refund Request,Resolved
CALL02593,PAX02593,2024-04-19,23,Refund Request,Escalated
CALL02594,PAX02594,2024-12-06,2,Refund Request,Pending
CALL02595,PAX02595,2024-07-29,25,Refund Request,Pending
CALL02596,PAX02596,2025-01-23,47,Refund Request,Pending
CALL02597,PAX02597,2024-02-14,53,Refund Request,Resolved
CALL02598,PAX02598,2024-02-29,18,Refund Request,Resolved
CALL02599,PAX02599,2023-11-23,10,Refund Request,Escalated
CALL02600,PAX02600,2024-07-17,6,General Inquiry,Resolved
CALL02601,PAX02601,2024-05-02,11,Booking Issue,Pending
CALL02602,PAX02602,2024-09-07,46,Booking Issue,Resolved
CALL02603,PAX02603,2024-07-01,22,Refund Request,Pending
CALL02604,PAX02604,2023-08-09,31,General Inquiry,Resolved
CALL02605,PAX02605,2024-07-29,2,Refund Request,Pending
CALL02606,PAX02606,2024-06-26,52,Refund Request,Pending
CALL02607,PAX02607,2023-04-30,54,Refund Request,Resolved
CALL02608,PAX02608,2024-08-25,60,General Inquiry,Pending
CALL02609,PAX02609,2024-01-29,23,General Inquiry,Resolved
CALL02610,PAX02610,2024-02-07,3,Booking Issue,Escalated
CALL02611,PAX02611,2024-04-03,48,Booking Issue,Resolved
CALL02612,PAX02612,2023-05-21,28,Refund Request,Resolved
CALL02613,PAX02613,2024-10-05,54,General Inquiry,Resolved
CALL02614,PAX02614,2024-10-29,38,Refund Request,Escalated
CALL02615,PAX02615,2024-07-01,14,Refund Request,Pending
CALL02616,PAX02616,2024-03-24,40,Refund Request,Pending
CALL02617,PAX02617,2024-04-30,27,General Inquiry,Resolved
CALL02618,PAX02618,2023-08-28,43,Refund Request,Escalated
CALL02619,PAX02619,2023-07-21,48,Booking Issue,Pending
CALL02620,PAX02620,2025-01-17,29,Refund Request,Resolved
CALL02621,PAX02621,2024-08-08,7,General Inquiry,Resolved
CALL02622,PAX02622,2023-03-18,15,Refund Request,Resolved
CALL02623,PAX02623,2023-08-07,8,Refund Request,Pending
CALL02624,PAX02624,2024-12-23,36,Booking Issue,Escalated
CALL02625,PAX02625,2023-08-26,4,Booking Issue,Pending
CALL02626,PAX02626,2023-07-30,7,Refund Request,Pending
CALL02627,PAX02627,2023-05-01,51,General Inquiry,Escalated
CALL02628,PAX02628,2024-11-22,50,Refund Request,Escalated
CALL02629,PAX02629,2023-11-17,28,Refund Request,Pending
CALL02630,PAX02630,2024-03-09,48,General Inquiry,Pending
CALL02631,PAX02631,2023-02-01,23,Booking Issue,Resolved
CALL02632,PAX02632,2023-09-01,49,General Inquiry,Resolved
CALL02633,PAX02633,2023-03-29,13,Booking Issue,Escalated
CALL02634,PAX02634,2023-07-23,40,General Inquiry,Resolved
CALL02635,PAX02635,2023-09-01,37,Refund Request,Escalated
CALL02636,PAX02636,2024-09-02,38,Booking Issue,Resolved
CALL02637,PAX02637,2023-12-22,9,Refund Request,Resolved
CALL02638,PAX02638,2023-09-21,15,Refund Request,Pending
CALL02639,PAX02639,2023-09-29,49,General Inquiry,Escalated
CALL02640,PAX02640,2023-12-18,39,General Inquiry,Resolved
CALL02641,PAX02641,2024-11-09,13,General Inquiry,Resolved
CALL02642,PAX02642,2023-03-27,9,Refund Request,Resolved
CALL02643,PAX02643,2023-08-19,22,General Inquiry,Resolved
CALL02644,PAX02644,2024-01-14,54,Booking Issue,Resolved
CALL02645,PAX02645,2024-06-26,15,General Inquiry,Resolved
CALL02646,PAX02646,2023-03-29,33,General Inquiry,Escalated
CALL02647,PAX02647,2023-03-09,43,Booking Issue,Resolved
CALL02648,PAX02648,2024-03-12,16,General Inquiry,Resolved
CALL02649,PAX02649,2024-09-25,59,General Inquiry,Escalated
CALL02650,PAX02650,2024-03-14,41,Refund Request,Resolved
CALL02651,PAX02651,2023-11-16,15,Refund Request,Escalated
CALL02652,PAX02652,2024-02-13,17,Refund Request,Escalated
CALL02653,PAX02653,2023-05-05,53,Booking Issue,Pending
CALL02654,PAX02654,2024-11-15,5,General Inquiry,Resolved
CALL02655,PAX02655,2024-03-08,34,Refund Request,Escalated
CALL02656,PAX02656,2024-10-16,26,Booking Issue,Escalated
CALL02657,PAX02657,2024-04-26,16,General Inquiry,Escalated
CALL02658,PAX02658,2023-05-15,33,Booking Issue,Escalated
CALL02659,PAX02659,2023-01-30,17,Booking Issue,Resolved
CALL02660,PAX02660,2024-02-01,10,General Inquiry,Resolved
CALL02661,PAX02661,2023-10-26,17,Booking Issue,Resolved
CALL02662,PAX02662,2025-01-16,46,Refund Request,Pending
CALL02663,PAX02663,2024-04-28,29,General Inquiry,Resolved
CALL02664,PAX02664,2024-05-31,17,Refund Request,Escalated
CALL02665,PAX02665,2023-11-14,25,Refund Request,Resolved
CALL02666,PAX02666,2024-07-06,33,Booking Issue,Escalated
CALL02667,PAX02667,2023-09-25,5,Refund Request,Resolved
CALL02668,PAX02668,2023-02-19,30,General Inquiry,Escalated
CALL02669,PAX02669,2023-09-21,4,Refund Request,Pending
CALL02670,PAX02670,2024-05-09,45,General Inquiry,Pending
CALL02671,PAX02671,2023-06-02,52,Refund Request,Resolved
CALL02672,PAX02672,2023-04-28,28,Booking Issue,Pending
CALL02673,PAX02673,2024-09-19,38,Refund Request,Resolved
CALL02674,PAX02674,2024-09-27,1,Booking Issue,Pending
CALL02675,PAX02675,2024-09-08,44,Refund Request,Escalated
CALL02676,PAX02676,2023-02-09,6,Booking Issue,Escalated
CALL02677,PAX02677,2023-12-26,44,Refund Request,Resolved
CALL02678,PAX02678,2023-10-15,20,Booking Issue,Resolved
CALL02679,PAX02679,2024-05-13,44,Booking Issue,Pending
CALL02680,PAX02680,2024-12-04,38,Booking Issue,Resolved
CALL02681,PAX02681,2023-01-31,2,Refund Request,Pending
CALL02682,PAX02682,2023-05-19,54,Refund Request,Escalated
CALL02683,PAX02683,2023-05-20,42,Booking Issue,Resolved
CALL02684,PAX02684,2024-12-05,58,Refund Request,Resolved
CALL02685,PAX02685,2024-10-29,58,General Inquiry,Resolved
CALL02686,PAX02686,2024-02-14,37,Refund Request,Pending
CALL02687,PAX02687,2024-07-01,23,Refund Request,Resolved
CALL02688,PAX02688,2023-03-16,42,General Inquiry,Escalated
CALL02689,PAX02689,2023-11-16,18,Refund Request,Resolved
CALL02690,PAX02690,2024-03-16,58,Refund Request,Pending
CALL02691,PAX02691,2025-01-06,6,General Inquiry,Resolved
CALL02692,PAX02692,2024-11-07,43,General Inquiry,Escalated
CALL02693,PAX02693,2023-09-30,28,Booking Issue,Resolved
CALL02694,PAX02694,2024-08-01,5,Refund Request,Escalated
CALL02695,PAX02695,2023-07-10,11,Refund Request,Escalated
CALL02696,PAX02696,2023-08-02,30,Refund Request,Resolved
CALL02697,PAX02697,2023-10-03,40,General Inquiry,Pending
CALL02698,PAX02698,2024-07-20,56,Refund Request,Escalated
CALL02699,PAX02699,2024-04-26,15,Booking Issue,Escalated
CALL02700,PAX02700,2024-04-25,40,Booking Issue,Pending
CALL02701,PAX02701,2023-11-14,60,General Inquiry,Resolved
CALL02702,PAX02702,2023-02-13,42,Booking Issue,Resolved
CALL02703,PAX02703,2024-06-02,3,Booking Issue,Escalated
CALL02704,PAX02704,2024-01-19,27,Refund Request,Pending
CALL02705,PAX02705,2023-09-29,60,General Inquiry,Pending
CALL02706,PAX02706,2024-05-19,9,Refund Request,Pending
CALL02707,PAX02707,2023-05-18,20,Refund Request,Pending
CALL02708,PAX02708,2024-08-29,12,Refund Request,Escalated
CALL02709,PAX02709,2023-06-16,11,Booking Issue,Escalated
CALL02710,PAX02710,2023-06-21,1,Refund Request,Pending
CALL02711,PAX02711,2023-05-19,1,Booking Issue,Resolved
CALL02712,PAX02712,2023-07-29,34,Booking Issue,Pending
CALL02713,PAX02713,2023-02-07,24,Booking Issue,Pending
CALL02714,PAX02714,2023-08-16,27,Refund Request,Pending
CALL02715,PAX02715,2023-06-28,36,Booking Issue,Pending
CALL02716,PAX02716,2024-09-17,9,Refund Request,Pending
CALL02717,PAX02717,2024-06-14,1,General Inquiry,Resolved
CALL02718,PAX02718,2024-10-02,39,General Inquiry,Pending
CALL02719,PAX02719,2024-05-26,16,General Inquiry,Resolved
CALL02720,PAX02720,2024-11-02,26,Refund Request,Resolved
CALL02721,PAX02721,2023-02-02,45,Booking Issue,Resolved
CALL02722,PAX02722,2024-09-03,39,Booking Issue,Pending
CALL02723,PAX02723,2023-08-17,41,General Inquiry,Escalated
CALL02724,PAX02724,2023-10-07,10,Booking Issue,Pending
CALL02725,PAX02725,2023-10-02,23,Booking Issue,Pending
CALL02726,PAX02726,2023-12-25,32,Booking Issue,Pending
CALL02727,PAX02727,2023-06-10,5,Booking Issue,Resolved
CALL02728,PAX02728,2023-07-08,16,Refund Request,Pending
CALL02729,PAX02729,2024-02-21,28,Booking Issue,Pending
CALL02730,PAX02730,2025-01-28,45,Refund Request,Escalated
CALL02731,PAX02731,2024-04-16,14,Refund Request,Escalated
CALL02732,PAX02732,2024-04-07,44,Refund Request,Pending
CALL02733,PAX02733,2023-06-05,50,Refund Request,Resolved
CALL02734,PAX02734,2024-09-11,24,General Inquiry,Escalated
CALL02735,PAX02735,2024-11-15,7,Refund Request,Escalated
CALL02736,PAX02736,2023-04-10,13,Refund Request,Pending
CALL02737,PAX02737,2023-06-13,27,General Inquiry,Escalated
CALL02738,PAX02738,2024-10-06,48,Booking Issue,Pending
CALL02739,PAX02739,2023-03-25,11,Refund Request,Escalated
CALL02740,PAX02740,2024-06-02,40,General Inquiry,Resolved
CALL02741,PAX02741,2024-08-02,60,Refund Request,Escalated
CALL02742,PAX02742,2024-05-04,43,Booking Issue,Escalated
CALL02743,PAX02743,2023-10-11,40,General Inquiry,Pending
CALL02744,PAX02744,2023-07-08,50,Refund Request,Pending
CALL02745,PAX02745,2025-01-17,36,General Inquiry,Resolved
CALL02746,PAX02746,2024-07-29,53,Refund Request,Pending
CALL02747,PAX02747,2024-03-01,28,Refund Request,Resolved
CALL02748,PAX02748,2023-10-08,16,Booking Issue,Escalated
CALL02749,PAX02749,2023-11-18,56,General Inquiry,Resolved
CALL02750,PAX02750,2024-06-08,47,Refund Request,Resolved
CALL02751,PAX02751,2024-11-07,15,Booking Issue,Pending
CALL02752,PAX02752,2024-06-17,36,Booking Issue,Escalated
CALL02753,PAX02753,2024-03-09,8,General Inquiry,Resolved
CALL02754,PAX02754,2023-10-03,9,Refund Request,Escalated
CALL02755,PAX02755,2023-01-30,38,General Inquiry,Escalated
CALL02756,PAX02756,2025-01-10,48,Refund Request,Resolved
CALL02757,PAX02757,2024-12-02,43,Refund Request,Escalated
CALL02758,PAX02758,2023-02-04,29,Booking Issue,Escalated
CALL02759,PAX02759,2024-08-16,7,General Inquiry,Resolved
CALL02760,PAX02760,2024-02-18,54,Booking Issue,Escalated
CALL02761,PAX02761,2023-02-07,13,Refund Request,Escalated
CALL02762,PAX02762,2024-01-07,59,Refund Request,Pending
CALL02763,PAX02763,2023-09-18,7,Refund Request,Escalated
CALL02764,PAX02764,2024-06-12,24,General Inquiry,Resolved
CALL02765,PAX02765,2024-06-25,21,Booking Issue,Resolved
CALL02766,PAX02766,2024-03-20,11,Booking Issue,Escalated
CALL02767,PAX02767,2025-01-14,18,Refund Request,Resolved
CALL02768,PAX02768,2023-03-03,56,General Inquiry,Resolved
CALL02769,PAX02769,2023-08-13,22,Booking Issue,Escalated
CALL02770,PAX02770,2023-05-27,13,Refund Request,Pending
CALL02771,PAX02771,2023-05-15,18,Refund Request,Escalated
CALL02772,PAX02772,2024-06-11,30,Booking Issue,Resolved
CALL02773,PAX02773,2023-10-03,29,General Inquiry,Resolved
CALL02774,PAX02774,2024-02-04,1,Booking Issue,Escalated
CALL02775,PAX02775,2023-08-03,43,General Inquiry,Pending
CALL02776,PAX02776,2023-02-27,9,Refund Request,Resolved
CALL02777,PAX02777,2024-12-20,10,Refund Request,Pending
CALL02778,PAX02778,2023-11-06,39,Refund Request,Resolved
CALL02779,PAX02779,2024-07-20,55,General Inquiry,Escalated
CALL02780,PAX02780,2024-06-29,33,Booking Issue,Pending
CALL02781,PAX02781,2024-04-04,19,Refund Request,Pending
CALL02782,PAX02782,2024-04-27,11,Booking Issue,Resolved
CALL02783,PAX02783,2023-08-28,27,Refund Request,Escalated
CALL02784,PAX02784,2024-07-08,12,Booking Issue,Resolved
CALL02785,PAX02785,2023-04-12,48,General Inquiry,Escalated
CALL02786,PAX02786,2024-11-08,18,General Inquiry,Escalated
CALL02787,PAX02787,2024-06-11,21,Booking Issue,Resolved
CALL02788,PAX02788,2024-08-22,32,General Inquiry,Escalated
CALL02789,PAX02789,2023-06-17,57,Refund Request,Pending
CALL02790,PAX02790,2023-04-27,44,General Inquiry,Pending
CALL02791,PAX02791,2023-05-19,10,General Inquiry,Resolved
CALL02792,PAX02792,2024-12-02,33,Booking Issue,Pending
CALL02793,PAX02793,2023-10-08,6,Refund Request,Resolved
CALL02794,PAX02794,2024-05-14,4,Booking Issue,Escalated
CALL02795,PAX02795,2023-02-28,58,General Inquiry,Pending
CALL02796,PAX02796,2024-11-11,9,General Inquiry,Resolved
CALL02797,PAX02797,2023-10-05,6,Refund Request,Pending
CALL02798,PAX02798,2023-04-12,1,General Inquiry,Escalated
CALL02799,PAX02799,2024-08-30,48,Refund Request,Resolved
CALL02800,PAX02800,2024-12-05,20,General Inquiry,Escalated
CALL02801,PAX02801,2024-05-08,59,Refund Request,Pending
CALL02802,PAX02802,2024-10-08,27,Refund Request,Resolved
CALL02803,PAX02803,2024-08-05,30,Refund Request,Resolved
CALL02804,PAX02804,2024-05-15,10,Booking Issue,Resolved
CALL02805,PAX02805,2023-07-03,29,Booking Issue,Pending
CALL02806,PAX02806,2023-06-26,42,General Inquiry,Escalated
CALL02807,PAX02807,2023-06-21,23,General Inquiry,Resolved
CALL02808,PAX02808,2023-04-03,24,Booking Issue,Escalated
CALL02809,PAX02809,2024-01-06,20,General Inquiry,Pending
CALL02810,PAX02810,2024-07-13,39,Refund Request,Escalated
CALL02811,PAX02811,2023-11-18,3,General Inquiry,Pending
CALL02812,PAX02812,2024-10-29,22,General Inquiry,Resolved
CALL02813,PAX02813,2024-09-29,18,Refund Request,Resolved
CALL02814,PAX02814,2024-12-30,43,Refund Request,Resolved
CALL02815,PAX02815,2023-02-16,51,Refund Request,Resolved
CALL02816,PAX02816,2023-08-08,56,General Inquiry,Escalated
CALL02817,PAX02817,2024-08-26,5,Booking Issue,Resolved
CALL02818,PAX02818,2023-05-27,1,General Inquiry,Escalated
CALL02819,PAX02819,2024-09-24,54,Refund Request,Resolved
CALL02820,PAX02820,2024-12-25,55,Refund Request,Resolved
CALL02821,PAX02821,2023-05-18,48,Refund Request,Escalated
CALL02822,PAX02822,2023-02-11,27,Booking Issue,Escalated
CALL02823,PAX02823,2024-05-16,10,Refund Request,Resolved
CALL02824,PAX02824,2023-08-28,33,Booking Issue,Escalated
CALL02825,PAX02825,2024-01-28,56,Booking Issue,Escalated
CALL02826,PAX02826,2023-09-06,29,Booking Issue,Escalated
CALL02827,PAX02827,2024-02-22,41,Booking Issue,Resolved
CALL02828,PAX02828,2023-12-18,41,Refund Request,Resolved
CALL02829,PAX02829,2024-06-18,37,Booking Issue,Pending
CALL02830,PAX02830,2024-03-13,53,Booking Issue,Escalated
CALL02831,PAX02831,2024-04-21,41,Booking Issue,Pending
CALL02832,PAX02832,2023-08-15,9,General Inquiry,Resolved
CALL02833,PAX02833,2023-12-05,35,General Inquiry,Escalated
CALL02834,PAX02834,2024-08-17,1,Booking Issue,Escalated
CALL02835,PAX02835,2023-10-10,16,Refund Request,Escalated
CALL02836,PAX02836,2024-01-17,1,General Inquiry,Pending
CALL02837,PAX02837,2023-08-29,33,Refund Request,Resolved
CALL02838,PAX02838,2023-07-02,59,Booking Issue,Resolved
CALL02839,PAX02839,2025-01-11,51,Refund Request,Escalated
CALL02840,PAX02840,2023-12-16,5,Refund Request,Resolved
CALL02841,PAX02841,2023-07-15,7,Booking Issue,Pending
CALL02842,PAX02842,2023-12-03,37,General Inquiry,Escalated
CALL02843,PAX02843,2024-01-23,8,Booking Issue,Escalated
CALL02844,PAX02844,2025-01-27,59,Booking Issue,Escalated
CALL02845,PAX02845,2023-08-18,59,Refund Request,Pending
CALL02846,PAX02846,2024-06-19,55,Refund Request,Resolved
CALL02847,PAX02847,2025-01-23,42,Booking Issue,Escalated
CALL02848,PAX02848,2024-08-31,41,Refund Request,Resolved
CALL02849,PAX02849,2024-04-09,4,Booking Issue,Escalated
CALL02850,PAX02850,2024-12-20,26,General Inquiry,Pending
CALL02851,PAX02851,2023-06-20,48,Refund Request,Resolved
CALL02852,PAX02852,2023-09-03,50,Booking Issue,Resolved
CALL02853,PAX02853,2023-06-21,5,Booking Issue,Pending
CALL02854,PAX02854,2024-03-18,34,Booking Issue,Escalated
CALL02855,PAX02855,2024-03-11,27,Booking Issue,Pending
CALL02856,PAX02856,2024-04-20,51,General Inquiry,Resolved
CALL02857,PAX02857,2023-07-28,40,Refund Request,Resolved
CALL02858,PAX02858,2024-02-06,43,Booking Issue,Escalated
CALL02859,PAX02859,2024-06-16,38,Booking Issue,Resolved
CALL02860,PAX02860,2023-06-02,32,Booking Issue,Resolved
CALL02861,PAX02861,2023-12-29,16,Booking Issue,Escalated
CALL02862,PAX02862,2023-07-16,35,Refund Request,Pending
CALL02863,PAX02863,2023-08-26,12,Booking Issue,Pending
CALL02864,PAX02864,2024-03-30,18,Booking Issue,Pending
CALL02865,PAX02865,2023-08-28,35,Refund Request,Escalated
CALL02866,PAX02866,2023-01-30,21,Booking Issue,Escalated
CALL02867,PAX02867,2024-04-12,59,General Inquiry,Pending
CALL02868,PAX02868,2023-04-16,43,Booking Issue,Resolved
CALL02869,PAX02869,2023-02-10,13,General Inquiry,Resolved
CALL02870,PAX02870,2023-10-23,43,Booking Issue,Escalated
CALL02871,PAX02871,2024-02-03,43,Refund Request,Resolved
CALL02872,PAX02872,2024-02-23,45,Booking Issue,Pending
CALL02873,PAX02873,2023-03-11,55,Booking Issue,Escalated
CALL02874,PAX02874,2024-11-22,48,General Inquiry,Pending
CALL02875,PAX02875,2024-06-09,34,Refund Request,Escalated
CALL02876,PAX02876,2023-08-24,46,General Inquiry,Pending
CALL02877,PAX02877,2024-08-03,50,General Inquiry,Resolved
CALL02878,PAX02878,2025-01-21,37,General Inquiry,Resolved
CALL02879,PAX02879,2024-04-23,1,Booking Issue,Resolved
CALL02880,PAX02880,2024-10-26,12,Refund Request,Resolved
CALL02881,PAX02881,2025-01-09,45,General Inquiry,Resolved
CALL02882,PAX02882,2024-12-18,37,Booking Issue,Pending
CALL02883,PAX02883,2023-04-30,31,General Inquiry,Resolved
CALL02884,PAX02884,2023-06-02,36,General Inquiry,Pending
CALL02885,PAX02885,2023-03-29,56,Refund Request,Escalated
CALL02886,PAX02886,2024-01-03,51,Booking Issue,Escalated
CALL02887,PAX02887,2023-05-22,8,Booking Issue,Pending
CALL02888,PAX02888,2024-03-29,9,General Inquiry,Resolved
CALL02889,PAX02889,2023-07-11,41,General Inquiry,Pending
CALL02890,PAX02890,2024-06-20,33,Refund Request,Escalated
CALL02891,PAX02891,2024-08-16,11,Refund Request,Resolved
CALL02892,PAX02892,2023-11-28,1,General Inquiry,Resolved
